GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.7265683191097093,0.2213461366394294,0.0,50,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.7352338074367991,0.10351243403477585,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.6142870380020033,0.30312008959621295,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.7020095212028903,0.22658617182005916,0.0,50,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.6106414359470657,0.34039953285497804,0.0,50,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.6657000821495966,0.23810344343852652,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.6465024635352878,0.32681326929458165,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.5776458051448438,0.3563667254433806,0.0,50,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.5737440133300739,0.33386278012299464,0.05,50,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.7208600883421797,0.2878393062880255,0.0,50,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.5671394113469304,0.394326389895326,0.05,48.15,8.27345151674922,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.5797597502865454,0.321049094900675,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.4752446095113539,0.3674608947149007,0.05,50,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.7131707478330338,0.26327145624277687,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.47180402003601574,0.38602925867495247,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.5912755864819331,0.31799422326389043,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.5116842011507918,0.38120014183516926,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.6755282044787604,0.30333885951315614,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.47643343626096796,0.37708544556436535,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.4740033442202077,0.3806480714018739,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.4431517058400162,0.3865567230155324,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.6650639008752399,0.3008719456296405,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.607448078390055,0.33781012728951865,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.5655421361275419,0.32196331273334905,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.5037345431348698,0.3361544114906396,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.6407524946762326,0.3480023056965437,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.47057795593662316,0.3775716704450142,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.63236936135279,0.33285466710878786,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.6432393907312111,0.30915538667419035,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.4908267939913998,0.32623012280954483,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.4466644103965208,0.3840765316810729,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.680792001929189,0.279686127667978,0.0,50,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.6130414797934527,0.3387573611269498,0.0,50,0.0,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.4924820907591374,0.3293710709403171,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.5798450065157886,0.33370925456479084,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.569206891066667,0.29443719689339065,0.0,50,0.0,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.5792319264694187,0.3426091143351211,0.0,50,0.0,walksize=0.2; no_improve=5; nbour=adjacent
BestILS,0.6395766335574306,0.2614115483270453,0.0,50,0.0,walksize=0.2; no_improve=10; nbour=Hamming
BestILS,0.6117563185078061,0.29272849884553953,0.0,50,0.0,walksize=0.2; no_improve=10; nbour=adjacent
BestILS,0.5380109650003041,0.3561340490266165,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=Hamming
BestILS,0.560636059962746,0.30156609531692663,0.05,50,0.0,walksize=0.2; no_improve=25; nbour=adjacent
BestILS,0.6156753013241375,0.30180271798506375,0.0,50,0.0,walksize=0.2; no_improve=50; nbour=Hamming
BestILS,0.6002235241615372,0.3336956401881806,0.0,50,0.0,walksize=0.2; no_improve=50; nbour=adjacent
BestILS,0.4858586589472486,0.3811726294498774,0.0,50,0.0,walksize=0.2; no_improve=100; nbour=Hamming
BestILS,0.7438938763683302,0.20824472354853663,0.0,50,0.0,walksize=0.2; no_improve=100; nbour=adjacent
BestILS,0.538396712643044,0.37441713354454786,0.0,50,0.0,walksize=0.2; no_improve=200; nbour=Hamming
BestILS,0.5328859791375801,0.3491447616238826,0.0,50,0.0,walksize=0.2; no_improve=200; nbour=adjacent
BestILS,0.6141409498304233,0.32709646620158317,0.0,50,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.6367344487886486,0.35184786868546997,0.0,50,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.56958214860546,0.39360387397769697,0.0,50,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.6628376502188108,0.2899595386468151,0.05,50,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.6336256484133826,0.29290088903434763,0.0,50,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.694811048438504,0.3099805254177493,0.05,50,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.5785665783482918,0.28353319436461316,0.0,50,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.5775272992223748,0.3583330692497817,0.0,50,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.7223560453442202,0.17834817584592272,0.0,50,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.6650128451592662,0.26359621385748483,0.0,50,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.6306126320607799,0.20649252055507694,0.0,50,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.7129862556754984,0.2345775149128827,0.0,50,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.5351674411258553,0.3735382028866883,0.0,50,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.7191046874470227,0.2595241162574349,0.0,50,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.639221896110893,0.30947699403378426,0.0,50,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.6254485295397894,0.2945830965775285,0.05,50,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.7363272557800941,0.1947679261560775,0.0,50,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.5751157960476283,0.33602576555170216,0.05,50,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.6712235289620928,0.25041338949879827,0.0,50,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.4879442983627131,0.3365652202329703,0.0,50,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.6832476219668724,0.24611346899577058,0.0,50,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.7341352366969607,0.1550476709106228,0.0,50,0.0,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.562249697960385,0.31737843614897865,0.0,50,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.6918382424934771,0.18492173479062776,0.0,50,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.6725575901864556,0.25074577445036994,0.05,50,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.6098250012947378,0.34263638486451486,0.0,50,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.6312578409771266,0.29447255826133867,0.0,50,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.7789085975238025,0.21787228224881067,0.0,50,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.6468186786746005,0.28545287527873087,0.0,50,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.6327635578114736,0.29566973348336933,0.05,50,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.6493434562476662,0.26909635706670637,0.0,50,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.6850277767138765,0.2749624117794691,0.05,49.6,1.7888543819998317,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.628849813649941,0.2643001800568214,0.0,50,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.6985099268115706,0.2939591391449694,0.0,50,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.6472496801190512,0.25792867066619474,0.0,50,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.5932739058640277,0.3479428529813146,0.05,50,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.6815939545102503,0.2597545522096517,0.0,50,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.5890289565277084,0.3231510513597523,0.05,49.35,2.9068883707497264,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.6799185566734427,0.23160850339723987,0.0,50,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.5626103858080721,0.31309506741218224,0.0,50,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.7458769661679238,0.21713387090898295,0.0,50,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.7387690241401792,0.2130559179721624,0.0,50,0.0,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.6927403854705378,0.2047958280571886,0.0,50,0.0,walksize=1.0; no_improve=500; nbour=Hamming
BestILS,0.6508678782993845,0.31407102518620367,0.05,50,0.0,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.8540883749325529,0.09178436807193023,0.05,100,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.8573747513200075,0.09362096779645966,0.1,99.55,1.7910596686995397,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.8364193445742051,0.08938474901383614,0.0,100,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.835659869716152,0.10116925106230437,0.0,100,0.0,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.8066816619269651,0.21951523085049815,0.0,100,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.8752877611582444,0.06581061916564282,0.05,100,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.8701922930332455,0.08914536870145962,0.05,100,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.8979201059526973,0.0744331396822373,0.15,98.55,3.899730085126675,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.8855387651751209,0.07962533329266376,0.0,100,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.8339694682405842,0.09358022824683544,0.05,99.55,2.0124611797498106,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.8980147708916713,0.0647755814815822,0.1,98,8.94427190999916,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.8635359526507043,0.0961066828638467,0.1,99.8,0.6155870112510924,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.8598030454393968,0.0921514914258738,0.1,99.9,0.4472135954999579,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.8436433100125296,0.15409485618570193,0.05,100,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.7449177692842851,0.2692517543802607,0.0,100,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.7156123669158494,0.3220324570696281,0.0,100,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.7759386522645367,0.3185693326566466,0.15,99.95,0.22360679774997896,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.6313322389926116,0.34143465538743506,0.0,100,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.6773371507014061,0.3711666646412988,0.05,100,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.7093732307807099,0.35128583505257566,0.2,95.85,10.353107847659231,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.7307151469124833,0.3220374159204011,0.05,99.9,0.4472135954999579,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.608341471514749,0.37627754838595695,0.1,100,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.6816262450271527,0.3630764640773652,0.0,100,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.5516578263859974,0.4215713737683838,0.05,100,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.7483231307375764,0.26725221837559454,0.0,100,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.43164791593571555,0.44904841916404975,0.0,100,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.795747840396062,0.21152099044452588,0.0,100,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.7316109088842692,0.32827269356454525,0.0,100,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.7167620199589808,0.3207862786633974,0.0,100,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.7848327602369668,0.22135186351204916,0.05,99.35,2.906888370749727,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.7667025130210079,0.2694863355593568,0.05,99.05,4.2485291572496005,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.683608744948194,0.34339077907067084,0.0,100,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.8225284162065535,0.21652221450225811,0.05,100,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.7422000564110576,0.33707349243111295,0.1,98.7,4.206511243549132,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.7891584949723318,0.23195156760076363,0.1,99.95,0.22360679774997896,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.6646103453746842,0.370174112876603,0.1,100,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.8190661756790384,0.2208322457841281,0.05,99.85,0.6708203932499369,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.7067118950532568,0.32429270832302537,0.1,99.1,4.024922359499621,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.8027527636183935,0.20690944214993587,0.05,98.05,8.72066511224918,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.8557960894395442,0.114119006937208,0.1,96.95,9.55579185074355,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.7561751803117046,0.34064843697111036,0.1,99.95,0.22360679774997896,walksize=0.1; no_improve=500; nbour=Hamming
