pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.8832579679547823,0.07092089838399016,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.7548992499124125,0.11934781478153275,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.8988249159870801,0.08293029536712908,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.817941383041575,0.10241034311398119,0.0,50,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.8825937052742747,0.07307820504528341,0.1,47.95,6.476475649773206,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.8131615661304874,0.117237762804462,0.05,50,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.8584969744639718,0.08321699629028952,0.0,50,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.8189646392966635,0.10785696600667566,0.0,50,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.8834693115596326,0.08438724644006666,0.15,48.75,5.5901699437494745,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.8107994692145526,0.09758200431360363,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.8566857413171763,0.07832818724116873,0.05,48.5,6.708203932499369,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.7958189045955295,0.09465051912970382,0.0,50,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.8756057471695218,0.07895800999051851,0.05,48.75,5.5901699437494745,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.8155013217202648,0.10316725687474802,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.8785865562044775,0.07964426607507126,0.05,48.45,6.931810730249348,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.7390871099709213,0.15936108538675814,0.0,50,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.8982414274312521,0.0743453213651169,0.05,48.5,6.708203932499369,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.7634165851455454,0.10390005851430317,0.0,50,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.89048981688999,0.07250762506059313,0.05,48.45,6.931810730249348,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.7837098852297519,0.13378305389959752,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.8900770723658131,0.08308369998092856,0.15,47.65,5.824404193608675,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.7968596703839789,0.12760437450776954,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.8436009402138098,0.0650590905369591,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.8350306515909135,0.09800023312629552,0.05,50,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.8814568430123545,0.06631504680411845,0.1,49.2,3.5777087639996634,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.7155520937679151,0.12055392814985044,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.889407666456085,0.0851168132427897,0.05,49.05,4.2485291572496005,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.7591301183264243,0.14290517976279193,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.8844467250314545,0.08264151011482208,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.7695761736489941,0.1449862694846195,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.9084060153054458,0.07127481654030869,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.791630413902916,0.11001444661380863,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.8978748054609109,0.07785052393472251,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.7109342515432461,0.12755549368242441,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.9257270079666833,0.07762767422371718,0.1,49.8,0.8944271909999159,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.8156446900058886,0.1447187684067132,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.888964431186224,0.07186953499449927,0.1,47.9,6.592659394715978,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.7956402337770315,0.1322786680881495,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.9171022180996176,0.06003046762902058,0.05,49,4.47213595499958,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.8250262898092865,0.09976985858035443,0.0,50,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.8351475755844847,0.06723584269718598,0.0,50,0.0,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.7780406289798342,0.13598091066149132,0.1,50,0.0,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.8905778516117865,0.09200904022974492,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.7960331631797135,0.1332926490284854,0.0,50,0.0,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.8952577338645091,0.08342053767176652,0.1,49.4,2.458069417888334,walksize=0.2; no_improve=5; nbour=adjacent
BestILS,0.7908155117389805,0.12791984129713138,0.0,50,0.0,walksize=0.2; no_improve=10; nbour=Hamming
BestILS,0.8852555636452136,0.07626890812851213,0.0,50,0.0,walksize=0.2; no_improve=10; nbour=adjacent
BestILS,0.786369163354585,0.13152798239713068,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=Hamming
BestILS,0.8617247403333476,0.08501877189660931,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=adjacent
BestILS,0.7824976033963262,0.13188878231025303,0.0,50,0.0,walksize=0.2; no_improve=50; nbour=Hamming
BestILS,0.8666311350963637,0.07728991786280677,0.05,48.2,8.049844718999243,walksize=0.2; no_improve=50; nbour=adjacent
BestILS,0.8025323705319048,0.05851565900149797,0.0,50,0.0,walksize=0.2; no_improve=100; nbour=Hamming
BestILS,0.8846009043905855,0.06767431396377607,0.0,50,0.0,walksize=0.2; no_improve=100; nbour=adjacent
BestILS,0.774970254255704,0.12079085214667508,0.0,50,0.0,walksize=0.2; no_improve=200; nbour=Hamming
BestILS,0.8873078653687717,0.07309100819151253,0.0,50,0.0,walksize=0.2; no_improve=200; nbour=adjacent
BestILS,0.8159135661198524,0.10384452369294518,0.0,50,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.8975773017093738,0.0735582064330557,0.05,49.3,3.1304951684997055,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.7755311195247666,0.11013768471445229,0.0,50,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.89068697503318,0.08801676607249011,0.1,47.4,8.107176807586825,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.7758244132882542,0.14487218648415284,0.0,50,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.8827441116176782,0.08104420918066167,0.05,49.45,2.4596747752497685,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.8101460537481092,0.10312019047534736,0.1,50,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.8653715060158778,0.07171267504581375,0.0,50,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.7661330963104391,0.10615010487179913,0.0,50,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.9042478797842224,0.05747712172570951,0.0,50,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.7879817200654954,0.10947603239406878,0.05,50,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.864238038472094,0.07071753665929001,0.0,50,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.8007274810930967,0.10553472019226325,0.0,50,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.8808515517734711,0.06674561430212915,0.0,50,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.8200888909024177,0.09128332061297564,0.0,50,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.8925362753430865,0.07922501601699931,0.0,50,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.7960311586743153,0.12073831377004408,0.05,50,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.8625483880642585,0.06302476792698052,0.0,50,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.8338558413765133,0.1046194158195415,0.05,50,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.8983344997955273,0.07221387276171276,0.0,50,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.7921038053537564,0.10860326666623497,0.0,50,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.8819843561249857,0.07897035442682333,0.0,50,0.0,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.7895198264030695,0.13238803389477447,0.0,50,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.8757073687278663,0.07594143036031019,0.0,50,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.8341431093944945,0.07287554236560963,0.0,50,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.8736287428542564,0.07857970528803716,0.05,50,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.7546712411166403,0.1425589740764493,0.0,50,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.8706138871233905,0.07613411126310027,0.0,50,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.8367352115717835,0.10773553199825697,0.05,50,0.0,walksize=0.5; no_improve=500; nbour=Hamming
