pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.9592489477061632,0.038539372196805005,0.0,51.9,1.7740824166460338,nr_particles=10; k=3; scaling=100.0
PSO,0.970319995509917,0.02311837839504113,0.0,50.7,1.1742858972247996,nr_particles=10; k=2; scaling=100.0
PSO,0.9725647320752638,0.0245038939797574,0.0,49.3,4.6690470119715,nr_particles=10; k=2; scaling=1000.0
PSO,0.9628402069769257,0.023918647578093907,0.0,52.2,1.7947291248483563,nr_particles=10; k=1; scaling=10.0
PSO,0.9439430646601712,0.03667037305599209,0.05,21.8,8.281876217633933,nr_particles=10; k=1; scaling=100.0
PSO,0.9076186866758191,0.05818255088282782,0.0,11.35,2.2542357790099112,nr_particles=10; k=1; scaling=1000.0
PSO,0.9652050443261615,0.02414940950142119,0.0,51.05,1.3168942730211068,nr_particles=5; k=2; scaling=10.0
PSO,0.9448492569574065,0.044308941495252656,0.0,41.15,12.084243764854342,nr_particles=5; k=2; scaling=100.0
PSO,0.9635170156050109,0.023698865609759503,0.0,44,10.218661978536081,nr_particles=5; k=2; scaling=1000.0
PSO,0.9651252972527993,0.024217669430867467,0.0,44,7.725555677510569,nr_particles=5; k=1; scaling=10.0
PSO,0.8611244067525838,0.08058804059195575,0.0,9.25,4.470664615609536,nr_particles=5; k=1; scaling=100.0
PSO,0.8818196335985409,0.08331783817476769,0.0,5.6,0.8207826816681233,nr_particles=5; k=1; scaling=1000.0
PSO,0.9425753576275082,0.043178903891036055,0.0,45,8.472866910568731,nr_particles=5; k=1; scaling=10.0
PSO,0.8921441158538795,0.06754974173069257,0.0,9.2,2.7644357947251903,nr_particles=5; k=1; scaling=100.0
PSO,0.877090698935271,0.07577007468124275,0.0,5.3,0.47016234598162726,nr_particles=5; k=1; scaling=1000.0
PSO,0.9502023763705105,0.04577502741297803,0.0,42.75,9.008037346842277,nr_particles=5; k=1; scaling=10.0
PSO,0.8836932475819779,0.08611176939863749,0.0,8.75,2.381397201556042,nr_particles=5; k=1; scaling=100.0
PSO,0.8751286517764248,0.06916007244662654,0.0,5.45,0.7591546545162482,nr_particles=5; k=1; scaling=1000.0
PSO,0.930154940026388,0.04986147599135058,0.0,30.25,10.939426522061334,nr_particles=3; k=1; scaling=10.0
PSO,0.86277373021546,0.08065033377339591,0.0,6.1,3.370147583836961,nr_particles=3; k=1; scaling=100.0
PSO,0.830817855688928,0.0978387711984612,0.0,3.4,0.8207826816681233,nr_particles=3; k=1; scaling=1000.0
PSO,0.9357825701158441,0.044858415866002505,0.0,25.8,8.769564593404551,nr_particles=3; k=1; scaling=10.0
PSO,0.8331516121603014,0.1563513937345433,0.0,6.15,4.727021984516813,nr_particles=3; k=1; scaling=100.0
PSO,0.8220214349023067,0.16053747583794825,0.0,3.2,0.6155870112510925,nr_particles=3; k=1; scaling=1000.0
PSO,0.9057036600320054,0.059209788189291276,0.0,26.35,11.640559762268623,nr_particles=3; k=1; scaling=10.0
PSO,0.8140546140568793,0.11419598418351319,0.0,6.25,2.989014975926984,nr_particles=3; k=1; scaling=100.0
PSO,0.8416619736681114,0.09017414427198309,0.0,3.1,0.30779350562554625,nr_particles=3; k=1; scaling=1000.0
PSO,0.9310053856262297,0.045490921023451446,0.0,25.95,12.795866931408586,nr_particles=3; k=1; scaling=10.0
PSO,0.8867079487623963,0.07786525216450155,0.0,4.65,1.0399898784932577,nr_particles=3; k=1; scaling=100.0
PSO,0.8131148915649385,0.09732437314610974,0.0,3.55,0.6863327411532597,nr_particles=3; k=1; scaling=1000.0
PSO,0.8581785651528838,0.14377414487597598,0.0,10.4,11.672730253841532,nr_particles=1; k=1; scaling=10.0
PSO,0.570093658681865,0.24263419754986962,0.0,2.4,2.233712981609438,nr_particles=1; k=1; scaling=100.0
PSO,0.5638448155143115,0.23134226828714852,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=1000.0
PSO,0.853290974534733,0.08794109738657058,0.0,9,6.2492104764479945,nr_particles=1; k=1; scaling=10.0
PSO,0.5899628473562749,0.27826192724900134,0.0,1.8,1.0052493799000692,nr_particles=1; k=1; scaling=100.0
PSO,0.7424921827937199,0.1800815260815955,0.0,1.2,0.5231483637805969,nr_particles=1; k=1; scaling=1000.0
PSO,0.8468335749371667,0.13311972445657935,0.0,8.05,4.999736835179691,nr_particles=1; k=1; scaling=10.0
PSO,0.6241040032481399,0.14371128623637663,0.0,1.45,0.6863327411532597,nr_particles=1; k=1; scaling=100.0
PSO,0.6013665847340742,0.21202588068113842,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.8664236621376941,0.09028265619462084,0.0,11.45,10.570440413072474,nr_particles=1; k=1; scaling=10.0
PSO,0.6544725575350006,0.2755559984902339,0.0,1.65,0.812727700887249,nr_particles=1; k=1; scaling=100.0
PSO,0.669639694964542,0.21705958029218664,0.0,1.45,1.7910596686995397,nr_particles=1; k=1; scaling=1000.0
PSO,0.9795218787419325,0.014743819492058264,0.0,101.9,2.291862033139728,nr_particles=20; k=2; scaling=100.0
PSO,0.9703899309445427,0.019814049870625478,0.0,100.6,2.4148662379867796,nr_particles=20; k=2; scaling=1000.0
PSO,0.983315376292346,0.007308484521603361,0.0,103.65,2.0332758116683998,nr_particles=10; k=5; scaling=10.0
PSO,0.979091425971613,0.014911187987496011,0.05,103.2,1.98944583661936,nr_particles=10; k=5; scaling=100.0
PSO,0.9798458707297576,0.01850680112026988,0.05,101.85,2.007223796297028,nr_particles=10; k=5; scaling=1000.0
PSO,0.9800011522794334,0.009908233924241807,0.0,102.25,1.943274501832843,nr_particles=10; k=3; scaling=10.0
PSO,0.9765761653515914,0.013220496523677875,0.0,100.7,1.7501879598308412,nr_particles=10; k=3; scaling=100.0
PSO,0.980338669999436,0.009711628799926732,0.0,99.65,8.616233149364664,nr_particles=10; k=3; scaling=1000.0
PSO,0.9770301309877264,0.014012676732520707,0.0,101.55,1.7006190823220508,nr_particles=10; k=2; scaling=10.0
PSO,0.9744464256836509,0.01685216936170264,0.0,84.55,18.6560981987124,nr_particles=10; k=2; scaling=100.0
PSO,0.9653188385424182,0.022512250368331203,0.0,77.65,20.121407819324645,nr_particles=10; k=2; scaling=1000.0
PSO,0.9786953487457853,0.011286506083057462,0.0,92.75,9.935979277883298,nr_particles=10; k=1; scaling=10.0
PSO,0.9290536966521197,0.06916658585797932,0.05,20.95,5.924747385243304,nr_particles=10; k=1; scaling=100.0
PSO,0.8992323259575619,0.061631173519540464,0.0,10.7,0.8645047258706176,nr_particles=10; k=1; scaling=1000.0
PSO,0.9787502231920002,0.011227201952129798,0.0,99.7,4.846051023907589,nr_particles=7; k=3; scaling=10.0
PSO,0.9826219968446579,0.009226797146157824,0.05,91.8,17.837276166854387,nr_particles=7; k=3; scaling=100.0
PSO,0.9686221503881685,0.018383476842572494,0.0,88.6,20.98219796825269,nr_particles=7; k=3; scaling=1000.0
PSO,0.978967594624006,0.01290112940759438,0.0,98.65,4.934038593495724,nr_particles=7; k=2; scaling=10.0
PSO,0.9613805271285149,0.038902046712825426,0.0,75.45,24.1191668704853,nr_particles=7; k=2; scaling=100.0
PSO,0.9607954731295878,0.04176119775508187,0.0,63.7,26.628239857240597,nr_particles=7; k=2; scaling=1000.0
PSO,0.9698085446192032,0.023409463783818127,0.0,70.9,17.167594933172023,nr_particles=7; k=1; scaling=10.0
PSO,0.938363405180133,0.04930274475275014,0.0,13.95,4.65069321375008,nr_particles=7; k=1; scaling=100.0
PSO,0.9136331909009089,0.07388372355360731,0.0,7.45,0.6048053188292994,nr_particles=7; k=1; scaling=1000.0
PSO,0.9700140344254758,0.02157320558893675,0.0,72.2,20.544175765767214,nr_particles=7; k=1; scaling=10.0
PSO,0.927180235339322,0.052668530268480306,0.0,13.85,6.458572434736397,nr_particles=7; k=1; scaling=100.0
PSO,0.9011487202365904,0.07796696660274319,0.0,7.65,1.1367080817685318,nr_particles=7; k=1; scaling=1000.0
PSO,0.9554295055871815,0.03651406088633924,0.0,36.2,22.51923154713953,nr_particles=3; k=1; scaling=10.0
PSO,0.8337251462924669,0.13584868399623928,0.0,5.85,1.8431951662948316,nr_particles=3; k=1; scaling=100.0
PSO,0.8344421394050826,0.07518492259135201,0.0,3.1,0.30779350562554625,nr_particles=3; k=1; scaling=1000.0
PSO,0.950819682920367,0.04514798350869653,0.0,35.85,20.005985946316432,nr_particles=3; k=1; scaling=10.0
PSO,0.8327343551254627,0.09683491481570483,0.0,6.25,5.981330603592623,nr_particles=3; k=1; scaling=100.0
PSO,0.7965550265874728,0.09676445358655528,0.0,3.5,0.9459053029269173,nr_particles=3; k=1; scaling=1000.0
PSO,0.9259933991101437,0.06359123576760893,0.0,27.95,13.523760766264607,nr_particles=3; k=1; scaling=10.0
PSO,0.8274247030349852,0.09911335665721474,0.0,5.1,0.9679060415469871,nr_particles=3; k=1; scaling=100.0
PSO,0.7499637988730653,0.15511019474108334,0.0,3.2,0.41039134083406165,nr_particles=3; k=1; scaling=1000.0
PSO,0.950191287395622,0.04036695493845416,0.0,32.45,19.115920617449518,nr_particles=3; k=1; scaling=10.0
PSO,0.8242561485835564,0.11289524321295419,0.0,7.15,6.876925567661606,nr_particles=3; k=1; scaling=100.0
PSO,0.7971629711782001,0.17138738523607192,0.0,3.2,0.5231483637805969,nr_particles=3; k=1; scaling=1000.0
PSO,0.987129512307015,0.007018708576542744,0.0,209.65,8.080353040750008,nr_particles=66; k=6; scaling=1000.0
PSO,0.9888865156232056,0.008723164218067096,0.0,207.6,4.592900700222602,nr_particles=40; k=4; scaling=1000.0
PSO,0.9881617660410464,0.007213720522078661,0.05,208.4,5.082477638649128,nr_particles=20; k=10; scaling=10.0
PSO,0.9878316872891505,0.007831342250981784,0.0,205.45,4.223680111491698,nr_particles=20; k=10; scaling=100.0
