GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.4551284672898792,0.46782438658898234,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.595490647193702,0.3997919719687442,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.5546242745841895,0.42716484316005543,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.6729399496115841,0.3179842460461692,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.5285866982657972,0.391348159193769,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.5881165277343492,0.38068908187874867,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.585557253396731,0.40970881337982956,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.6299921016550584,0.35674952828422246,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.6934647225167465,0.34804602584954625,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.663666455392655,0.320154682675482,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.7309353678809596,0.3238715032704925,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.7658156298018778,0.25618832382909773,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.5604639399097275,0.36696663703698035,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.5746713483919607,0.40267308067314983,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.5934003208321235,0.3757612257256586,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.7309775504608572,0.2831139290513774,0.0,50,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.5189750036456506,0.45185062199814074,0.05,50,0.0,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.7641369047473762,0.2226371284299106,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.6475430742996331,0.3925060613706551,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.6922462917379647,0.3261501898921831,0.0,50,0.0,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.7460354774543124,0.2601204145778365,0.0,50,0.0,walksize=0.2; no_improve=5; nbour=adjacent
BestILS,0.6636975849525365,0.3722378409365389,0.0,50,0.0,walksize=0.2; no_improve=10; nbour=Hamming
BestILS,0.5694360743334512,0.3634527824011491,0.0,50,0.0,walksize=0.2; no_improve=10; nbour=adjacent
BestILS,0.6776059092626784,0.33757497358768274,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=Hamming
BestILS,0.700630058577198,0.3472059952314575,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=adjacent
BestILS,0.6420498502055015,0.35288385296922964,0.0,50,0.0,walksize=0.2; no_improve=50; nbour=Hamming
BestILS,0.7886461359002161,0.23135639619392168,0.0,50,0.0,walksize=0.2; no_improve=50; nbour=adjacent
BestILS,0.7828952247765635,0.2178161812241139,0.0,50,0.0,walksize=0.2; no_improve=100; nbour=Hamming
BestILS,0.6835649217023944,0.37994628640620165,0.0,50,0.0,walksize=0.2; no_improve=100; nbour=adjacent
BestILS,0.6454699539019864,0.297750462068877,0.0,50,0.0,walksize=0.2; no_improve=200; nbour=Hamming
BestILS,0.7426981879907193,0.3398599914487482,0.05,50,0.0,walksize=0.2; no_improve=200; nbour=adjacent
BestILS,0.5769060096785334,0.37650376809900493,0.0,50,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.5529202411696731,0.37874320732774097,0.0,50,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.7750770306820529,0.25055341138918585,0.0,50,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.694299709115764,0.32344680711003754,0.0,50,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.6994781339330803,0.25444062269918777,0.0,50,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.7147013898280968,0.2894139401581153,0.0,50,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.7423708915075687,0.29782466983346584,0.0,50,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.7859901199811961,0.28549493067495607,0.0,50,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.6670256135801591,0.29269582001378064,0.0,50,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.6276908371459241,0.38055160868257804,0.0,50,0.0,walksize=0.35; no_improve=50; nbour=adjacent
