GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.38746489266770273,0.254216862954475,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.4580047641926984,0.2919983466537831,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.4158612221692178,0.22354838340083685,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.3846108574608518,0.34447138207674755,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.15470546626392115,0.24680597472229823,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.06688689264313605,0.1513787584567556,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.7473746494613446,0.13859862657081676,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.668248198883033,0.23675473767038957,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.6981271023143024,0.09794729495663362,0.0,50,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.7288799606304586,0.10821906961581088,0.0,50,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.746712379573249,0.09193290131375871,0.0,50,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.766289808446015,0.10501412520202263,0.0,50,0.0,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.7271263748303773,0.11378186251303933,0.0,50,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
Simulated annealing,0.7378068705677632,0.0968625263272819,0.0,50,0.0,hillclimb=None; explore=0.3; nbour_method=adjacent
Simulated annealing,0.7301687602772671,0.09347499480681624,0.0,50,0.0,hillclimb=None; explore=0.5; nbour_method=Hamming
Simulated annealing,0.6904425300686597,0.1272189056350134,0.0,50,0.0,hillclimb=None; explore=0.5; nbour_method=adjacent
Simulated annealing,0.7026975676581124,0.1211632127434179,0.0,50,0.0,hillclimb=None; explore=0.7; nbour_method=Hamming
Simulated annealing,0.7150876325199803,0.13273696418188896,0.0,50,0.0,hillclimb=None; explore=0.7; nbour_method=adjacent
Simulated annealing,0.7439043843476466,0.10238987770018664,0.0,50,0.0,hillclimb=None; explore=1.0; nbour_method=Hamming
Simulated annealing,0.7660199423339014,0.11528476297644291,0.0,50,0.0,hillclimb=None; explore=1.0; nbour_method=adjacent
Simulated annealing,0.4307174599575611,0.41702780997233835,0.05,37.45,13.523760766264608,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.3446043495993456,0.4345205494765173,0.0,28.15,17.418305555393516,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.6457386604588241,0.3425775817151043,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.4569877402971924,0.4028174521107548,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.4395874135668552,0.3746124665989097,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.7199812755295432,0.2954357469027666,0.1,49.7,1.3416407864998738,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.5847706734731203,0.3309127750626539,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.49772345567673565,0.3332663789476896,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.6111865682651769,0.28950466651930434,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.6303692426586331,0.3292602261655587,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.6058190607693112,0.33266370814595264,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.7227226264147825,0.20752807592394623,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.6355002313590198,0.2551724988434436,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.7499166736687837,0.13282438960874682,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.6507897904081857,0.26451491675580835,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.6640434762732643,0.23849753135450796,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.6246145583355035,0.38446903236585445,0.0,41.7,11.890287943040784,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.4279213129624138,0.4425841501768245,0.05,27.75,15.593099013413122,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.7320599953353008,0.3492831585198876,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.4512813706510251,0.42920342806980905,0.05,49.7,1.3416407864998738,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.8156507211551552,0.2134971014899114,0.05,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.5181505467586539,0.404836679398046,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.7423336077172478,0.27783662301343987,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.7750091172921656,0.2954811451912282,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.8290245405918286,0.12301180824950217,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.861479949455392,0.08369222537120609,0.1,49.35,2.9068883707497264,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.7934677598915872,0.22904962444538274,0.1,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.7403681248881526,0.2787639436375914,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.8007850967651124,0.22776443722620549,0.05,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.7273191934047487,0.33348670807894626,0.15,49.8,0.6155870112510924,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.7331813600062299,0.27710099548009515,0.05,49.8,0.8944271909999159,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.7532901824530714,0.2380978025450698,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.48982670037161397,0.34150721721614175,0.0,43.25,11.99506477462162,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.42727499987869527,0.4103057321369343,0.0,34.05,18.103430904839993,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.5585965621957517,0.3035547237361854,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.3616336342882498,0.3567394158966049,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.5090545367427296,0.3071552103449329,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.4665308103928369,0.35411658993023426,0.05,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.5217629495907844,0.339371302358567,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.4664748236490614,0.31030607294507395,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.5361753733630393,0.26671652764335463,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.4596172843785257,0.32322002380940007,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.5998043896261843,0.22743315253002902,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.6737137959351315,0.22687311110144923,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.5598857566268981,0.2900006665509067,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.6514960635075231,0.3135828540539734,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.5298296283165856,0.26879491293399005,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.5353709360193823,0.28497738742722395,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.07569462220652307,0.1450047822502847,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.0449140176559106,0.13861557421759904,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.7404667642952041,0.10355718053241689,0.0,100,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.7208569611243191,0.16173336377800596,0.0,100,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.7822665945290682,0.10590785119511328,0.0,100,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.7890426280493192,0.08519222304767912,0.0,100,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.7817791115147421,0.09010894473780282,0.0,100,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.7827562354421309,0.07027787074051119,0.0,100,0.0,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.765472496429922,0.09635134435043033,0.0,100,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
Simulated annealing,0.783559552521941,0.11571897728032185,0.0,100,0.0,hillclimb=None; explore=0.3; nbour_method=adjacent
Simulated annealing,0.7649250474245431,0.08102094787373441,0.0,100,0.0,hillclimb=None; explore=0.5; nbour_method=Hamming
Simulated annealing,0.7724132298192086,0.08087598141946814,0.0,100,0.0,hillclimb=None; explore=0.5; nbour_method=adjacent
Simulated annealing,0.7586104135121785,0.056992271230928065,0.0,100,0.0,hillclimb=None; explore=0.7; nbour_method=Hamming
Simulated annealing,0.8074184033422241,0.058669896504068925,0.0,100,0.0,hillclimb=None; explore=0.7; nbour_method=adjacent
Simulated annealing,0.7755947627128884,0.10942772753089733,0.0,100,0.0,hillclimb=None; explore=1.0; nbour_method=Hamming
Simulated annealing,0.7909680677747964,0.09359243005997048,0.0,100,0.0,hillclimb=None; explore=1.0; nbour_method=adjacent
Simulated annealing,0.5339907400625765,0.45210177541120766,0.05,67.1,37.46422855274924,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.3480782553552756,0.43903637617175184,0.05,40.15,36.195776142062705,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.7785726632809482,0.2750258692662347,0.1,100,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.6661190771056725,0.38506715008035747,0.1,98,6.164414002968976,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.7689970376832327,0.3005901187214812,0.05,100,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.8214736230397187,0.24118747254492845,0.2,98.5,6.708203932499369,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.8550125693921775,0.10306769349811953,0.0,100,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.7715941104310319,0.27908270408574987,0.0,100,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.7798473901740071,0.27607283231205726,0.05,99,4.47213595499958,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.8506098436482809,0.2142994795475047,0.15,95.55,10.985516781079005,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=adjacent
