convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.8232061282794448,0.22470028195284625,0.12,48.54,5.107857092914077,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=100; nbour_method=adjacent
Simulated annealing,0.5699352357807823,0.31067492400030056,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=1; nbour_method=Hamming
Simulated annealing,0.5689042667018961,0.36436383096239233,0.08,49.38,2.884794761560436,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=1; nbour_method=adjacent
Simulated annealing,0.5461863911066389,0.25398585451438793,0.02,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=2; nbour_method=Hamming
Simulated annealing,0.6861771553287412,0.28123658116267986,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=2; nbour_method=adjacent
Simulated annealing,0.5780182256517024,0.2843377633048826,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=4; nbour_method=Hamming
Simulated annealing,0.773204697049643,0.21145217005201375,0.02,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=4; nbour_method=adjacent
Simulated annealing,0.5839519707072416,0.2806541920127678,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=8; nbour_method=Hamming
Simulated annealing,0.7256958234222907,0.23051724903465037,0.02,49.92,0.565685424949238,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=8; nbour_method=adjacent
Simulated annealing,0.6440564409010803,0.2136617124838127,0.02,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=12; nbour_method=Hamming
Simulated annealing,0.7487290822832375,0.23532289586611257,0.04,49.88,0.6272713828600043,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=12; nbour_method=adjacent
Simulated annealing,0.5891934081596906,0.2680676151336213,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=16; nbour_method=Hamming
Simulated annealing,0.7451301993312576,0.21539087392374423,0.06,49.92,0.4444671196029727,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=16; nbour_method=adjacent
Simulated annealing,0.6376633375901767,0.2449204684767033,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=24; nbour_method=Hamming
Simulated annealing,0.7631480558441467,0.18634734440786496,0.02,49.7,2.1213203435596424,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=24; nbour_method=adjacent
Simulated annealing,0.6934447498848516,0.20532035646283106,0.02,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=32; nbour_method=Hamming
Simulated annealing,0.7014552258413037,0.26804991456200367,0.02,49.78,1.5556349186104046,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=32; nbour_method=adjacent
Simulated annealing,0.5772473554899243,0.2797764641560516,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=50; nbour_method=Hamming
Simulated annealing,0.8093426943532153,0.13538419409507288,0.04,49.64,1.8818141485800128,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=50; nbour_method=adjacent
Simulated annealing,0.6453503462392877,0.2251192943062167,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=100; nbour_method=Hamming
Simulated annealing,0.7498017748800793,0.2125647513911977,0.04,49.42,2.9560729603544593,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=100; nbour_method=adjacent
Simulated annealing,0.8162925550089195,0.07291192571589794,0.0,100,0.0,hillclimb=None; explore=1; nbour_method=Hamming
Simulated annealing,0.7999410649945586,0.10500859266675673,0.04,98.08,9.857846765756854,hillclimb=None; explore=1; nbour_method=adjacent
Simulated annealing,0.8064703984618075,0.08638844869454643,0.0,100,0.0,hillclimb=None; explore=2; nbour_method=Hamming
Simulated annealing,0.8434172143162353,0.05919223532335934,0.0,100,0.0,hillclimb=None; explore=2; nbour_method=adjacent
Simulated annealing,0.828633586035317,0.052774909780775925,0.0,100,0.0,hillclimb=None; explore=4; nbour_method=Hamming
Simulated annealing,0.8331203380847119,0.05581806828606424,0.0,100,0.0,hillclimb=None; explore=4; nbour_method=adjacent
Simulated annealing,0.83599997116439,0.06676569624530923,0.04,96.32,18.239271378214735,hillclimb=None; explore=8; nbour_method=Hamming
Simulated annealing,0.8273132268823035,0.05995962912649741,0.0,100,0.0,hillclimb=None; explore=8; nbour_method=adjacent
Simulated annealing,0.8375703196868101,0.06806802305817854,0.0,100,0.0,hillclimb=None; explore=12; nbour_method=Hamming
Simulated annealing,0.8471744493348361,0.06052453089427885,0.02,98.62,9.758073580374356,hillclimb=None; explore=12; nbour_method=adjacent
Simulated annealing,0.8340154113195042,0.0602514119852876,0.0,100,0.0,hillclimb=None; explore=16; nbour_method=Hamming
Simulated annealing,0.8456489484536838,0.06065173851188016,0.02,98.04,13.859292911256333,hillclimb=None; explore=16; nbour_method=adjacent
Simulated annealing,0.8274997148159045,0.06098782232793587,0.0,100,0.0,hillclimb=None; explore=24; nbour_method=Hamming
Simulated annealing,0.8334921163636393,0.056029366061848815,0.0,100,0.0,hillclimb=None; explore=24; nbour_method=adjacent
Simulated annealing,0.8347414443074839,0.056528439823529515,0.0,100,0.0,hillclimb=None; explore=32; nbour_method=Hamming
Simulated annealing,0.8389215004248246,0.06911557699821093,0.04,96.68,16.60764515369414,hillclimb=None; explore=32; nbour_method=adjacent
Simulated annealing,0.826994129530215,0.062424160722507144,0.0,100,0.0,hillclimb=None; explore=50; nbour_method=Hamming
Simulated annealing,0.825309760727259,0.06197625120163389,0.0,100,0.0,hillclimb=None; explore=50; nbour_method=adjacent
Simulated annealing,0.8233466015409769,0.05656985395181583,0.0,100,0.0,hillclimb=None; explore=100; nbour_method=Hamming
Simulated annealing,0.8416743738760954,0.06349028362460671,0.02,98.72,9.050966799187808,hillclimb=None; explore=100; nbour_method=adjacent
Simulated annealing,0.8861668587070842,0.14805566951375898,0.1,99.68,2.262741699796952,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=1; nbour_method=Hamming
Simulated annealing,0.8608529974428103,0.15617234845424507,0.1,97.16,12.865647980540416,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=1; nbour_method=adjacent
Simulated annealing,0.8482035831821415,0.2255648523196843,0.12,98.32,7.152678961517189,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=2; nbour_method=Hamming
Simulated annealing,0.8329150885092219,0.2063209503011216,0.1,98.02,7.643831713565267,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=2; nbour_method=adjacent
Simulated annealing,0.9009588986604816,0.0918423134863093,0.12,99.78,1.5556349186104046,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=4; nbour_method=Hamming
Simulated annealing,0.8708631354809351,0.1246146492853741,0.08,96.88,11.87630121764537,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=4; nbour_method=adjacent
Simulated annealing,0.9109770781629599,0.06964128784998587,0.2,99.58,2.9698484809834995,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=8; nbour_method=Hamming
Simulated annealing,0.8748081019389753,0.09780821528646223,0.18,94.04,15.69083965183482,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=8; nbour_method=adjacent
Simulated annealing,0.8744936619961482,0.13758109815903696,0.1,100,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=12; nbour_method=Hamming
Simulated annealing,0.8672823025694955,0.09563789998683517,0.06,97.7,10.369204798983638,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=12; nbour_method=adjacent
Simulated annealing,0.9060866975405366,0.06105627579373465,0.08,99.76,1.6970562748477143,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=16; nbour_method=Hamming
Simulated annealing,0.8595557906470268,0.15450565728844232,0.12,96.6,11.552895210946131,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=16; nbour_method=adjacent
Simulated annealing,0.8913446634472193,0.08737482551894422,0.06,99.7,2.1213203435596424,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=24; nbour_method=Hamming
Simulated annealing,0.9016608280475437,0.07238960105411557,0.18,95.3,13.118377824056369,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=24; nbour_method=adjacent
Simulated annealing,0.9169800112777378,0.06391164047381764,0.12,100,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=32; nbour_method=Hamming
Simulated annealing,0.8660869660066176,0.15592743869172734,0.16,95.44,13.01985924247561,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=32; nbour_method=adjacent
