convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Genetic local search,0.48135228115354456,0.34798881872051635,0.0,25.75,0.4442616583193193,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=Hamming
Genetic local search,0.5120018753726914,0.3619362642789586,0.0,24.3,1.7198531149031608,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=adjacent
Genetic local search,0.5269563552883039,0.35784094881444783,0.0,25.9,0.3077935056255462,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=Hamming
Genetic local search,0.40993075405003615,0.3562609209632937,0.05,23.85,2.207046132634963,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament2_selection at 0x7f98931ced30>; nbour_method=adjacent
Genetic local search,0.6041008415653597,0.28821650369549456,0.0,25.95,0.22360679774997896,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=Hamming
Genetic local search,0.5579486890958932,0.3367926472465129,0.0,24.9,1.3726654823065194,pop_size=2; reproductor=<function uniform_crossover at 0x7f98931c6d30>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=adjacent
Genetic local search,0.5975787581724455,0.30906164966436983,0.0,25.75,0.4442616583193193,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=Hamming
Genetic local search,0.5251185449459375,0.4062931945005798,0.15,23.85,2.6011131220468307,pop_size=2; reproductor=<function twopoint_crossover at 0x7f98931c6e50>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=adjacent
Genetic local search,0.6390223249155647,0.34102407667497636,0.0,25.8,0.41039134083406165,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=Hamming
Genetic local search,0.61588715943438,0.3842779755852573,0.05,24.65,1.8431951662948316,pop_size=2; reproductor=<function onepoint_crossover at 0x7f98931c6dc0>; hillclimber=<function RandomGreedyHillclimb at 0x7f98930fb1f0>; selector=<function tournament4_selection at 0x7f98931cedc0>; nbour_method=adjacent
