pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.9205627969331572,0.05505904687515651,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.7442417011248241,0.19183961057447124,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.9052592190364248,0.055118944565445874,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.6782209186426789,0.17721376055269647,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.7083293107530215,0.15107145231275848,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.9635388585103474,0.023496105756044244,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.9634845840799323,0.02422252613616844,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.9719843147806033,0.018853317822049836,0.0,50,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
Simulated annealing,0.965757833755421,0.01950640433106785,0.0,50,0.0,hillclimb=None; explore=0.1; nbour_method=adjacent
Simulated annealing,0.9649102636833188,0.017604320546063253,0.0,50,0.0,hillclimb=None; explore=0.2; nbour_method=Hamming
Simulated annealing,0.9606224218908723,0.03223890548522765,0.05,48.75,5.5901699437494745,hillclimb=None; explore=0.2; nbour_method=adjacent
Simulated annealing,0.9767714910384008,0.00973574944478737,0.0,50,0.0,hillclimb=None; explore=0.3; nbour_method=Hamming
Simulated annealing,0.9677599689706299,0.016539571003143107,0.0,50,0.0,hillclimb=None; explore=0.3; nbour_method=adjacent
Simulated annealing,0.9680885957706395,0.01346880619340162,0.0,50,0.0,hillclimb=None; explore=0.5; nbour_method=Hamming
Simulated annealing,0.9706988116261261,0.012581270052563338,0.0,50,0.0,hillclimb=None; explore=0.5; nbour_method=adjacent
Simulated annealing,0.9687535051215009,0.015155914384382017,0.0,50,0.0,hillclimb=None; explore=0.7; nbour_method=Hamming
Simulated annealing,0.9658791753923364,0.020183091664086984,0.0,50,0.0,hillclimb=None; explore=0.7; nbour_method=adjacent
Simulated annealing,0.9682063597945292,0.013750335658524767,0.0,50,0.0,hillclimb=None; explore=1.0; nbour_method=Hamming
Simulated annealing,0.9734190844557076,0.007767378207855353,0.0,50,0.0,hillclimb=None; explore=1.0; nbour_method=adjacent
Simulated annealing,0.875499924237567,0.10568660730036031,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.9185345367623725,0.06258203305699736,0.0,28.6,8.49396070282013,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.9028819511748569,0.090329316697727,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.9497562787829289,0.04537910609208179,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.922007239853249,0.0706116691899366,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.9539569175459051,0.040468983414612955,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.9186381344165973,0.053745544447277915,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.9603159560813703,0.028075165623261438,0.05,48.15,8.27345151674922,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.867452477334731,0.10802356024173158,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.958108378242948,0.03281321836541881,0.05,48.75,5.5901699437494745,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.879475320958741,0.07913763408993436,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.9495719823557702,0.045911349467675694,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.9359260916458004,0.05172884237356199,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.9641792746918757,0.026735526622539123,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.8957346941561632,0.09181567564764545,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.9681185572920671,0.020117624197977534,0.0,50,0.0,hillclimb=<function BestHillclimb at 0x7fc6349f8280>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.9724887308559319,0.041172346679907754,0.05,49.95,0.22360679774997896,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.929140898023572,0.06124495303450494,0.0,18,7.739169002037961,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.974276873663364,0.04584312270018647,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.05; nbour_method=Hamming
Simulated annealing,0.96901219977852,0.027436203252265912,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.05; nbour_method=adjacent
Simulated annealing,0.9798817494668074,0.012987223603181185,0.05,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.980379123569179,0.02060255983759189,0.15,46.5,8.672400262660245,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.9841440600907067,0.010183079043896731,0.05,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.9795797310619045,0.017974572345035637,0.05,48.35,7.379024325749306,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.9812406573403507,0.008203640203250671,0.05,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.976570351234912,0.021856073384223226,0.05,48,8.94427190999916,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.9382794165196503,0.12261550961173669,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.9714310423726287,0.020246125894193924,0.05,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.9829092862394189,0.007659731973854534,0.0,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.9796503440457356,0.012999073410457713,0.05,49.3,3.1304951684997055,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.9792244815219229,0.02363589212725044,0.2,50,0.0,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.9740261495933675,0.023975862353781692,0.05,49.1,4.024922359499621,hillclimb=<function RandomGreedyHillclimb at 0x7fc6349f8160>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.8229898733655483,0.16883956241588974,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.01; nbour_method=Hamming
Simulated annealing,0.9133877954548563,0.21777550144714902,0.05,24.9,12.652854889000556,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.01; nbour_method=adjacent
Simulated annealing,0.89044117067334,0.09467639942916263,0.0,50,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.05; nbour_method=Hamming
