convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.6241037998612521,0.1350023815449024,0.0,10.3,0.5712405705774795,nr_particles=10; k=1; scaling=1000.0
PSO,0.8496985914049658,0.08086790409058157,0.0,98.8,4.6180424196269225,nr_particles=7; k=3; scaling=10.0
PSO,0.8375145219611498,0.13716801259002642,0.0,85.6,21.695015192677932,nr_particles=7; k=3; scaling=100.0
PSO,0.8129964243705721,0.21536437804888878,0.05,86.4,27.566951991565247,nr_particles=7; k=3; scaling=1000.0
PSO,0.8464261294049032,0.07349323042464716,0.0,82.05,22.542299420376235,nr_particles=7; k=2; scaling=10.0
PSO,0.7869796715161084,0.25519110454880883,0.05,66.8,34.51559525474642,nr_particles=7; k=2; scaling=100.0
PSO,0.7639663292359918,0.12316320715304674,0.0,48.55,36.43664292121903,nr_particles=7; k=2; scaling=1000.0
PSO,0.7030888505638865,0.17753409330828185,0.0,39.7,12.98217401305587,nr_particles=7; k=1; scaling=10.0
PSO,0.5833461830995197,0.20680021752076733,0.0,10.5,3.0,nr_particles=7; k=1; scaling=100.0
PSO,0.5079944740045493,0.23451844988161918,0.0,7.25,0.5501196042201808,nr_particles=7; k=1; scaling=1000.0
PSO,0.6905414727204638,0.23997868554347995,0.0,47.15,18.009573477517595,nr_particles=7; k=1; scaling=10.0
PSO,0.526208744055466,0.26188182885583616,0.0,10,1.9466570535691503,nr_particles=7; k=1; scaling=100.0
PSO,0.6279228236855036,0.1748653512074709,0.0,7.15,0.4893604849295929,nr_particles=7; k=1; scaling=1000.0
PSO,0.40513557194365674,0.33870755994242824,0.0,16.7,9.14272791262053,nr_particles=3; k=1; scaling=10.0
PSO,0.3824952801110601,0.30607665384519817,0.0,4.3,2.0026298499197184,nr_particles=3; k=1; scaling=100.0
PSO,0.36121957718458436,0.3388479366799677,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.5554947656745975,0.2292600687417111,0.0,12.8,5.745478771676863,nr_particles=3; k=1; scaling=10.0
PSO,0.2751741776033858,0.2769690915375138,0.0,4.45,2.0124611797498106,nr_particles=3; k=1; scaling=100.0
PSO,0.32206690081061273,0.2911514968796306,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.5215345454935211,0.3230196999938394,0.0,14.1,5.775629380149154,nr_particles=3; k=1; scaling=10.0
PSO,0.29698643733535,0.33322222775203264,0.0,4.5,1.7621756887140216,nr_particles=3; k=1; scaling=100.0
PSO,0.26141120754426206,0.30973100834874673,0.0,3.15,0.36634754853252327,nr_particles=3; k=1; scaling=1000.0
PSO,0.35576563265411587,0.34204150072757566,0.0,20.1,9.363422676058489,nr_particles=3; k=1; scaling=10.0
PSO,0.21699698024036884,0.2729154314932201,0.0,3.95,0.8255779474818965,nr_particles=3; k=1; scaling=100.0
PSO,0.35524881330677177,0.2789241804068917,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.9335700395411761,0.04253319399831288,0.05,208.3,6.530092285960276,nr_particles=40; k=13; scaling=100.0
PSO,0.9036263270754492,0.048663844210921875,0.05,209.3,7.175249858110572,nr_particles=40; k=4; scaling=1000.0
PSO,0.917949578954121,0.034776472590586055,0.0,205.95,3.5905577927611603,nr_particles=20; k=10; scaling=10.0
PSO,0.9159459122332102,0.037215916528988466,0.05,199.85,12.162388096526369,nr_particles=20; k=10; scaling=100.0
PSO,0.9272769594472049,0.03756587309757814,0.05,204,4.507304013896134,nr_particles=20; k=10; scaling=1000.0
PSO,0.9342361266972729,0.03716651502514469,0.05,204.5,4.406932337985115,nr_particles=20; k=6; scaling=10.0
PSO,0.9146885075952809,0.03268037532138432,0.0,203.75,2.863104682168054,nr_particles=20; k=6; scaling=100.0
PSO,0.9184592881048758,0.05230267604939936,0.05,203.05,3.720144309594794,nr_particles=20; k=6; scaling=1000.0
