GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8857974699549176,0.10442490271290426,0.05,101.9,17.570609431362183,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8352368030040974,0.21110297491417715,0.0,90.25,20.84497920111068,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.954379462864309,0.10962451228967085,0.65,64.55,37.34966356503165,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.972014965024925,0.08133920664900335,0.7,62.4,38.978266548910234,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9558654918351945,0.10932099090074102,0.6,62.55,29.891866522693533,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9235735868379843,0.13698296439978708,0.6,57.75,23.03287124730082,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9750728817924303,0.07951515667344479,0.6,64.35,40.92390242234585,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9514438976854875,0.11374496227286623,0.7,57.15,24.00937316966022,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9016711824518275,0.16050103158499865,0.25,212.8,108.020271002106,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9632834153990789,0.059034338628997686,0.4,244.55,103.55241489979336,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8505961307515326,0.2302450067058247,0.15,224.1,87.23465028603208,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9053036101032805,0.0878724524727334,0.15,272.95,79.05126584425417,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9233768325990819,0.08010936213238021,0.05,227.95,84.37976497266453,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9599964955394864,0.040342214255874406,0.1,219.05,81.49812719837252,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9991837931213757,0.003650188128613801,0.95,148.65,77.83672181662004,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9674745244005621,0.07040606704045234,0.75,190.3,106.39850612326828,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9843875161039746,0.031122120296714274,0.65,183.35,88.87973838134788,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9701127894174825,0.08291177102491225,0.55,206.5,99.97236460247665,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9681563039539995,0.08356501927769577,0.65,155.25,92.74008671664335,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9276869371181059,0.22396454406215485,0.6,169.65,98.28383975962039,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9315912123036216,0.04613997521049756,0.05,397.75,10.062305898749054,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9276271755887099,0.047487467712698454,0.05,394.05,26.609208932247498,method=L-BFGS-B; iterations=1000000; temperature=0.1
