pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.8906736896671552,0.09789433732239589,0.04,99.96,0.282842712474619,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.8927848626900858,0.0765748489152482,0.1,95.12,17.43283320259182,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.8781051968319961,0.10214915984012594,0.06,99.26,5.232590180780452,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.8728215652177886,0.06975376461014189,0.0,100,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.907408122186639,0.07613056196431912,0.08,100,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.8965543758224885,0.0672873451164026,0.06,97.16,11.359361867676208,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.8883120396176523,0.09735401612680607,0.06,100,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.9101051000559943,0.0719149378644619,0.08,95.18,17.142488091265623,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.8987432809439498,0.07484952173334841,0.08,99.96,0.282842712474619,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.8923929268890685,0.07115188404565066,0.06,98.38,6.561763078158,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.8835018382134249,0.08845414279915016,0.02,99.8,1.4142135623730951,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.8942535548710526,0.06844394648931959,0.04,98.42,10.610141471291337,walksize=0.2; no_improve=5; nbour=adjacent
BestILS,0.8780227839197594,0.11240815650965576,0.14,99.92,0.3958973274443148,walksize=0.2; no_improve=10; nbour=Hamming
BestILS,0.9110204182716064,0.06814767740768894,0.06,97.58,12.071369399685913,walksize=0.2; no_improve=10; nbour=adjacent
BestILS,0.8780685464055243,0.09239172239178091,0.06,99.96,0.282842712474619,walksize=0.2; no_improve=25; nbour=Hamming
BestILS,0.8947287038269873,0.06599741945047474,0.1,92.62,22.38976624828989,walksize=0.2; no_improve=25; nbour=adjacent
BestILS,0.9101877395546898,0.07903741037711606,0.14,99.84,0.5480950312357393,walksize=0.2; no_improve=50; nbour=Hamming
BestILS,0.8876237058711924,0.07490801298192054,0.08,97,11.825258335185644,walksize=0.2; no_improve=50; nbour=adjacent
BestILS,0.8768331812404555,0.10572487481601056,0.12,99.96,0.282842712474619,walksize=0.2; no_improve=100; nbour=Hamming
BestILS,0.8821967097140906,0.07381512103266306,0.04,97.58,12.328976983893991,walksize=0.2; no_improve=100; nbour=adjacent
BestILS,0.8841998825624919,0.09225366357915613,0.08,99.96,0.282842712474619,walksize=0.2; no_improve=200; nbour=Hamming
BestILS,0.8908141383117617,0.07580933554672753,0.04,99.42,3.010796897697298,walksize=0.2; no_improve=200; nbour=adjacent
BestILS,0.8873485745227137,0.09067215184748463,0.08,99.96,0.282842712474619,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.8827861636863369,0.07305776830076376,0.06,96.42,14.60792348595202,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.8894261635114744,0.09033238863570403,0.1,99.14,5.237268332999249,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.8895753970953449,0.07144073317645162,0.04,98.3,9.864903777057952,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.8867561445565614,0.08788684495568685,0.06,99.82,1.2727922061357855,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.8738103132943209,0.06321868462053788,0.02,98.9,7.7781745930520225,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.8901929836716346,0.08441963393117599,0.06,99.92,0.3958973274443148,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.8967723301177589,0.07491233232187414,0.02,98.64,9.616652224137047,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.854609255615179,0.10744767693435732,0.14,99.88,0.47979587496419046,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.8744153933469438,0.07455222556246441,0.02,100,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.90152048294657,0.09204369098784079,0.06,99.92,0.3958973274443148,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.899220269055976,0.07373343693722376,0.02,99.86,0.9899494936611666,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.8850511134455519,0.09520559511049306,0.1,99.96,0.282842712474619,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.8857697779133097,0.06990945599131285,0.04,99.34,4.666904755831214,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.8922641892874923,0.10231460879861155,0.1,99.96,0.282842712474619,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.8785101412509501,0.0673814583373883,0.02,99.4,4.242640687119285,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.8822625245373725,0.1013629594990277,0.16,99.92,0.3958973274443148,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.8764432147225639,0.07175725006707892,0.04,96.92,15.263455088035926,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.8886252386967393,0.09380734751551865,0.1,100,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.8946166906473794,0.06836354568800247,0.04,99.46,2.7196188208299055,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.8892741042174372,0.09150131421490872,0.1,99.26,5.232590180780452,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.8812816266674255,0.0728554911071649,0.06,97.86,11.689887483964725,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.877422957522239,0.10259466880620606,0.02,100,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.8683565143578595,0.06506070479346802,0.0,100,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.8849544269271398,0.09847423178619726,0.08,99.26,5.232590180780452,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.904372238411749,0.07591232327366218,0.04,98.24,8.709741203774925,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.8797827641745586,0.08363490980229749,0.04,100,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.8753505708934054,0.07636042258990243,0.02,98.54,10.323759005323593,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.8871418303501919,0.09135865074297891,0.1,99.58,2.4251236029934473,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.895172479034777,0.07199611155993013,0.02,98.9,7.7781745930520225,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.8918390048538688,0.08595897910616056,0.06,99.26,5.232590180780452,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.8741726667063385,0.07188272765079416,0.02,99.24,5.374011537017761,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.8731193713319862,0.08898556372201756,0.06,99.96,0.282842712474619,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.8868055757293445,0.07609116355263865,0.06,98.46,9.087353850269064,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.8732869263152879,0.10304535815852892,0.08,100,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.8874564750487178,0.07497860426894017,0.0,100,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.8955892074696034,0.09914499127452732,0.16,99.84,0.5480950312357393,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.8833479126971707,0.07174853628977133,0.04,100,0.0,walksize=1.0; no_improve=50; nbour=adjacent
