pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.7122187205346221,0.2505222088305491,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.9393123679258154,0.04884163421292226,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.7632961030882046,0.1760090183496985,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.9362726472679828,0.05358244060316503,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.7243420636671156,0.19175754723387997,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.9202121966562898,0.05170571682472375,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.6777046969452444,0.21538624947802382,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.9346929700667347,0.06411474513713131,0.05,24.65,1.5652475842498528,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.6774977012799023,0.2288259809184596,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.9278574048781041,0.06867876721529183,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.8145950216169352,0.17445654450217588,0.05,25,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.9379396325212498,0.04868700240049888,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.6665589448146622,0.22139208470415864,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.9201558162458782,0.05601642517092667,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.6533748908765171,0.23798706697918753,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.9161564197338149,0.0605612516091203,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.7392208012261944,0.1639522384580527,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.9356610502961599,0.055577408776305626,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.6593867073952018,0.21587472347901954,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.9300238659506382,0.05653572737786455,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.7610455174346908,0.1317335224577624,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=Hamming
