convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.4594327650221727,0.26551240753358474,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.47255130886507646,0.21386300419709472,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.4877501849369838,0.3567713266425498,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.4761512360372941,0.25631945025561553,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.4654618153671567,0.31382468771097366,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.5788807049427027,0.2131102002001178,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.521072419551719,0.27489951444660415,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.578847047485115,0.2612248334916831,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=Hamming
BestILS,0.5069961721858754,0.3389801198393037,0.05,25,0.0,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.6936886834347304,0.1548103047406378,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.6816546034210054,0.1770975622272788,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.658849316363049,0.20406785090862914,0.0,50,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.7221323146761218,0.1910150805765262,0.05,49.6,1.7888543819998317,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.6108533351336989,0.23373149875902136,0.0,50,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.6610162215017901,0.27279733937558404,0.05,49.55,2.0124611797498106,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.7243459464267261,0.11749022241966765,0.0,50,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.755081085102486,0.1969764326862694,0.05,48.95,4.695742752749559,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.6678639708242312,0.19256062172435104,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.6715560608360203,0.21215660198997635,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.7139914886591675,0.18702597504108692,0.0,50,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.7014216637808925,0.2371323524818771,0.05,49.1,4.024922359499621,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.6645906348431093,0.17363505700431833,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.7685939205366891,0.20695749157593737,0.05,49.7,1.3416407864998738,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.5550145889834461,0.3106719363650763,0.0,50,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.6798774999051121,0.31694435092817563,0.1,49.15,3.8013155617496426,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.7031047034798782,0.25274901058533344,0.05,50,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.5909997724987653,0.3300277369835248,0.05,49.55,2.0124611797498106,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.6527180443617775,0.16558752174680869,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.41274365969462123,0.3452254129275578,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.6232750518842862,0.29396159361789864,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.642924242918243,0.2456725325367401,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.6813312554068794,0.1996413360221202,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.6878289323917338,0.24881089704615714,0.05,48.5,6.708203932499369,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.6630559204977536,0.25094610162053066,0.1,50,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.5835265646219188,0.33578956755852074,0.1,49.2,3.5777087639996634,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.6629085030040355,0.17706069029130744,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.6342778215990281,0.3575586139074218,0.1,49.05,3.03445130737702,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.6520607370615796,0.27655427056556975,0.1,50,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.7490051391560388,0.1636453604843364,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.6308124341614194,0.30788551459881636,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.5509397982282961,0.3610570063933071,0.05,50,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.538957079026738,0.32187589098015,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.6368040585745489,0.23892533242429106,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.6678861473224523,0.20710894392547805,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.6015646404819714,0.29871257220719954,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.5912792164039699,0.27353203478393756,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.6186986110474028,0.2986370761379705,0.05,49.45,2.4596747752497685,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.7078276334089262,0.16167395375039503,0.05,50,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.6663370286298425,0.25992184985834643,0.05,49.35,2.9068883707497264,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.6968576358907282,0.15442540493814616,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.6317953582562549,0.2931144758133685,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.6712216081892903,0.18270724131633634,0.0,50,0.0,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.6827535940470442,0.23159761428104866,0.0,50,0.0,walksize=0.2; no_improve=5; nbour=adjacent
BestILS,0.5376538909109364,0.2595943656333325,0.0,50,0.0,walksize=0.2; no_improve=10; nbour=Hamming
BestILS,0.7502465333164546,0.19518656477779833,0.05,49.85,0.6708203932499369,walksize=0.2; no_improve=10; nbour=adjacent
BestILS,0.5860089542707642,0.24104229022509266,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=Hamming
BestILS,0.6620948148301634,0.25650262339363433,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=adjacent
BestILS,0.7203827933028093,0.1797158011270042,0.0,50,0.0,walksize=0.2; no_improve=50; nbour=Hamming
BestILS,0.6706289040678406,0.2593468707584419,0.0,50,0.0,walksize=0.2; no_improve=50; nbour=adjacent
BestILS,0.6180471752787877,0.23980309597020305,0.0,50,0.0,walksize=0.2; no_improve=100; nbour=Hamming
BestILS,0.749901777038239,0.2269160273450232,0.05,50,0.0,walksize=0.2; no_improve=100; nbour=adjacent
BestILS,0.557513089387765,0.22855487901588137,0.0,50,0.0,walksize=0.2; no_improve=200; nbour=Hamming
