GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.3203081535668585,0.3361792132707381,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.1; nbour_method=Hamming
Simulated annealing,0.24174191254676813,0.32601661081940153,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.1; nbour_method=adjacent
Simulated annealing,0.24611097245430108,0.26511592251909205,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.2; nbour_method=Hamming
Simulated annealing,0.3898065058146116,0.344871316952374,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.2; nbour_method=adjacent
Simulated annealing,0.44392972301072403,0.3279895973058705,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.3; nbour_method=Hamming
Simulated annealing,0.4224041320154323,0.3777040898028254,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.3; nbour_method=adjacent
Simulated annealing,0.3583216910826913,0.329992758571387,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.5; nbour_method=Hamming
Simulated annealing,0.4972776183880632,0.3528708553649375,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.5; nbour_method=adjacent
Simulated annealing,0.3612779511166968,0.31602553269341593,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=Hamming
Simulated annealing,0.3979551274059565,0.36405038136786533,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=0.7; nbour_method=adjacent
Simulated annealing,0.4869564414147883,0.31437913021035846,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=Hamming
Simulated annealing,0.5175481464811483,0.35110699433857245,0.0,25,0.0,hillclimb=<function StochasticHillclimb at 0x7fc6349f8310>; explore=1.0; nbour_method=adjacent
Simulated annealing,0.2091946928722298,0.3442909197551081,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=Hamming
Simulated annealing,0.0329969809535272,0.10258685660899029,0.0,1,0.0,hillclimb=None; explore=0.01; nbour_method=adjacent
Simulated annealing,0.8324757820789517,0.09646164183294624,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=Hamming
Simulated annealing,0.715185093662951,0.24199632091433695,0.0,50,0.0,hillclimb=None; explore=0.05; nbour_method=adjacent
Simulated annealing,0.8021070494709757,0.09391187725391476,0.0,50,0.0,hillclimb=None; explore=0.1; nbour_method=Hamming
