convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.7411407042408115,0.22463491057037102,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.8198984175609887,0.09245965290472956,0.0,50,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.7038957246195674,0.2883266177761552,0.0,50,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.7598668227701515,0.21177753672755656,0.0,50,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.635916227113858,0.3169715503874399,0.0,50,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.7810927437064736,0.2080640035828864,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.6006326961441693,0.36000151116457585,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.753767517400336,0.2233277361015349,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.6346816907043137,0.36608076230751113,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.7922207060119542,0.12264576063140317,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.6837153888534266,0.3554679314627949,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.6919437677639242,0.3087850335386749,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.5895779814017578,0.33673737364284745,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.758839967795955,0.20028699096531524,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.7327308509167936,0.2853109032513566,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.7998111337619312,0.09275640036792902,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.793244810995707,0.20623214120709596,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.7146166666036038,0.25987089373880023,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.6698955133426581,0.31069915958061994,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.6376561046355921,0.33532679744593474,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.6740124721369491,0.2982714493683521,0.1,49.9,0.4472135954999579,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.7816612430080507,0.18309446779840577,0.05,50,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.7699795274650059,0.24266186564255066,0.05,49.75,1.118033988749895,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.6711361314485371,0.2556853524005245,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.6689688547222756,0.3131915235362458,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=adjacent
