convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.593438157529418,0.3075733962488549,0.05,49.1,4.024922359499621,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.7111051316586025,0.15994953186846755,0.0,50,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.5526594371283045,0.3322194424612635,0.0,50,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.6575672213729795,0.23617015942221087,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.4761541088564741,0.31237125863021664,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.5446543405691122,0.2972715071800484,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.507941974496555,0.30465668540615265,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.6244843080814652,0.2542445081861717,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.7548436078379362,0.23380593597321206,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.6415101942718797,0.2568116644115248,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.5645500416635439,0.27630033491781053,0.0,50,0.0,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.5313226830260481,0.2675215423507335,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.5738999459912656,0.28065938915323124,0.0,50,0.0,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.6424801256210066,0.19141199278555543,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.6315388363891944,0.20466197320228835,0.0,50,0.0,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.6141315009709916,0.22655770974440406,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.5831761971017405,0.3017497902610007,0.0,50,0.0,walksize=0.1; no_improve=10; nbour=adjacent
BestILS,0.7020411411223427,0.24204383567259383,0.0,50,0.0,walksize=0.1; no_improve=25; nbour=Hamming
BestILS,0.6198785391659767,0.30168810779951905,0.05,49.05,4.2485291572496005,walksize=0.1; no_improve=25; nbour=adjacent
BestILS,0.5984100330488089,0.20812963625829292,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=Hamming
BestILS,0.5532602225646962,0.30640878083866163,0.0,50,0.0,walksize=0.1; no_improve=50; nbour=adjacent
BestILS,0.6272877776012498,0.1652122866950334,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=Hamming
BestILS,0.6030962405723329,0.2708573715497257,0.0,50,0.0,walksize=0.1; no_improve=100; nbour=adjacent
BestILS,0.6371847235579479,0.32145098362916935,0.05,50,0.0,walksize=0.1; no_improve=200; nbour=Hamming
BestILS,0.5784549970453685,0.3616804351579735,0.1,47.55,7.83027189149501,walksize=0.1; no_improve=200; nbour=adjacent
BestILS,0.6825823908672891,0.21604548528561168,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=Hamming
BestILS,0.7010043962164102,0.2051215266163579,0.0,50,0.0,walksize=0.1; no_improve=500; nbour=adjacent
BestILS,0.6472055137415329,0.21755100443551698,0.0,50,0.0,walksize=0.2; no_improve=5; nbour=Hamming
BestILS,0.6335557269159718,0.25472493115295985,0.0,50,0.0,walksize=0.2; no_improve=5; nbour=adjacent
BestILS,0.7054053197470027,0.15419116949602518,0.0,50,0.0,walksize=0.2; no_improve=10; nbour=Hamming
BestILS,0.7139661540593127,0.1877347607896808,0.05,49.6,1.7888543819998317,walksize=0.2; no_improve=10; nbour=adjacent
BestILS,0.5703949057130444,0.18646271759167352,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=Hamming
BestILS,0.6228170872259299,0.2734492404960637,0.0,50,0.0,walksize=0.2; no_improve=25; nbour=adjacent
BestILS,0.7007299779864115,0.15289227594964547,0.0,50,0.0,walksize=0.2; no_improve=50; nbour=Hamming
BestILS,0.6744297341066718,0.25583499472997784,0.0,50,0.0,walksize=0.2; no_improve=50; nbour=adjacent
BestILS,0.6276403071967452,0.2519161375809436,0.0,50,0.0,walksize=0.2; no_improve=100; nbour=Hamming
BestILS,0.6458948783218622,0.21795232405248272,0.0,50,0.0,walksize=0.2; no_improve=100; nbour=adjacent
BestILS,0.7101180318648943,0.19104912177055242,0.0,50,0.0,walksize=0.2; no_improve=200; nbour=Hamming
BestILS,0.5714979309766578,0.18954193014522497,0.0,50,0.0,walksize=0.2; no_improve=200; nbour=adjacent
BestILS,0.6696476412233919,0.1590985103748702,0.0,50,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.5853184776317916,0.23681878574729265,0.0,50,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.6040830415145735,0.21143511218077907,0.0,50,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.7192623077650697,0.20637652752027708,0.1,48.1,7.4048348359277005,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.5558614437785258,0.27244219702740813,0.05,50,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.6287141307620364,0.20231419822007637,0.0,50,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.6211092620488604,0.21762135123789997,0.0,50,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.644640486976318,0.2096476334935841,0.0,50,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.5882899409842102,0.266748287136171,0.0,50,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.6628754584813253,0.26348640054161776,0.0,50,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.5766742242246345,0.28119397980690364,0.0,50,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.6654393705482248,0.27022117767383114,0.0,50,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.5881301426422901,0.2032559042193785,0.0,50,0.0,walksize=0.35; no_improve=200; nbour=Hamming
