pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.9696022386692095,0.024997640082205137,0.05,198.1,13.490347426371589,nr_particles=14; k=4; scaling=1000.0
PSO,0.9592912485661821,0.031525709925227414,0.05,200.05,6.9242138067874,nr_particles=14; k=2; scaling=10.0
PSO,0.940361277760462,0.050268700703594814,0.05,148.1,53.434564015990134,nr_particles=14; k=2; scaling=100.0
PSO,0.897023625504012,0.06597456689524861,0.05,125.5,54.18341171671601,nr_particles=14; k=2; scaling=1000.0
PSO,0.9204908231123544,0.042680672500238395,0.0,136.15,24.05755161012201,nr_particles=14; k=1; scaling=10.0
PSO,0.8451919093126629,0.08716447919140584,0.0,25.35,4.614336925621914,nr_particles=14; k=1; scaling=100.0
PSO,0.8225937330490696,0.06916537974266256,0.0,15.4,2.2337129816094383,nr_particles=14; k=1; scaling=1000.0
PSO,0.9399295673193876,0.06066651029266291,0.1,158.85,51.04515544825818,nr_particles=6; k=3; scaling=10.0
PSO,0.8914079510570461,0.0985858244829303,0.2,115.3,57.38154847390542,nr_particles=6; k=3; scaling=100.0
PSO,0.8817068882812669,0.09284650075418209,0.1,114.15,65.85092813956463,nr_particles=6; k=3; scaling=1000.0
PSO,0.869586986794262,0.08006098537794719,0.0,66.2,28.95659183202187,nr_particles=6; k=1; scaling=10.0
PSO,0.7932341144347441,0.08938441039100616,0.0,11.4,5.9240810968542,nr_particles=6; k=1; scaling=100.0
PSO,0.7504413580890088,0.10775851381916583,0.0,6.5,0.9459053029269173,nr_particles=6; k=1; scaling=1000.0
PSO,0.8659566694268643,0.07870550190956568,0.0,51.25,17.268392178227035,nr_particles=6; k=1; scaling=10.0
PSO,0.7601915531976583,0.08134581615492466,0.0,11.45,2.3050288273114594,nr_particles=6; k=1; scaling=100.0
PSO,0.7410498342197251,0.08915117825291721,0.0,6.25,0.7163503994113789,nr_particles=6; k=1; scaling=1000.0
PSO,0.8959175150203234,0.05545616572098587,0.05,61.1,23.23087781833752,nr_particles=6; k=1; scaling=10.0
PSO,0.7925836102793479,0.09555084190489288,0.0,11.75,6.703298481070031,nr_particles=6; k=1; scaling=100.0
PSO,0.747735362648297,0.08260181371164545,0.0,6.25,0.7163503994113789,nr_particles=6; k=1; scaling=1000.0
PSO,0.9768531620824459,0.02053916134000409,0.1,417.8,11.27923103015356,nr_particles=80; k=8; scaling=1000.0
PSO,0.9794526011525675,0.0287455311623068,0.4,415.25,10.7990009284485,nr_particles=40; k=20; scaling=10.0
PSO,0.9937335998678732,0.012396012087103978,0.5,410.1,5.3596936283218355,nr_particles=40; k=20; scaling=100.0
PSO,0.9871959803197353,0.01752703557572925,0.35,411.15,6.915086481934378,nr_particles=40; k=20; scaling=1000.0
PSO,0.9822702383123932,0.022614346009469856,0.4,411.55,9.321593493773364,nr_particles=40; k=13; scaling=10.0
PSO,0.9856037299016199,0.02285612876965276,0.4,410.75,6.742442162583931,nr_particles=40; k=13; scaling=100.0
PSO,0.9868712684744533,0.019487467914027997,0.45,411.55,7.279929149452804,nr_particles=40; k=13; scaling=1000.0
PSO,0.9884168123982237,0.014575614629151142,0.35,414.1,8.540306909313221,nr_particles=40; k=8; scaling=10.0
PSO,0.9824788362920639,0.01842552164614145,0.3,408.25,6.364994728571018,nr_particles=40; k=8; scaling=100.0
PSO,0.9772712046836748,0.022271476481937787,0.15,409.4,5.9062856793687,nr_particles=40; k=8; scaling=1000.0
PSO,0.9753078390811947,0.023044918761724466,0.2,412.5,8.708737294416332,nr_particles=40; k=4; scaling=10.0
PSO,0.9826957103012535,0.017374014808209645,0.2,405.15,4.944694126030447,nr_particles=40; k=4; scaling=100.0
PSO,0.974715954590614,0.025303134166643728,0.2,404.6,3.03315017762062,nr_particles=40; k=4; scaling=1000.0
PSO,0.9805790626136781,0.01906330834784519,0.3,408.5,6.484800041554664,nr_particles=28; k=14; scaling=10.0
PSO,0.9812759050954897,0.027638625779884452,0.4,406.5,5.698568610671132,nr_particles=28; k=14; scaling=100.0
PSO,0.9941035777383186,0.011439575241985267,0.55,406.7,4.824280693588042,nr_particles=28; k=14; scaling=1000.0
PSO,0.992442424270833,0.0074357375858959095,0.45,407.5,4.707217302912848,nr_particles=28; k=9; scaling=10.0
PSO,0.9813920544347045,0.02240646716116828,0.4,404.35,3.2326459750489227,nr_particles=28; k=9; scaling=100.0
PSO,0.9828734912460929,0.021244880560550947,0.25,406.75,5.561853155767041,nr_particles=28; k=9; scaling=1000.0
PSO,0.9754557369197511,0.021470163193697253,0.1,407.1,4.435502700994141,nr_particles=28; k=5; scaling=10.0
PSO,0.9776172129224449,0.024185314308630374,0.25,405.3,4.646447426175241,nr_particles=28; k=5; scaling=100.0
PSO,0.9734417305561899,0.033861734706672135,0.35,398.1,21.57459519654394,nr_particles=28; k=5; scaling=1000.0
PSO,0.9718807180985757,0.02282118686850286,0.1,403.25,6.87386354243376,nr_particles=28; k=2; scaling=10.0
PSO,0.9497694099797708,0.03558595847766823,0.15,220.6,72.47605775267044,nr_particles=28; k=2; scaling=100.0
PSO,0.9516890766956229,0.05910693866565507,0.15,258.1,112.28436644238779,nr_particles=28; k=2; scaling=1000.0
PSO,0.9759119577344494,0.029671800712023612,0.45,378.05,55.385229838022035,nr_particles=12; k=6; scaling=10.0
PSO,0.9749125812382301,0.03526804749433858,0.45,349.6,78.19435973736752,nr_particles=12; k=6; scaling=100.0
PSO,0.9657808820729232,0.05677242939039257,0.4,312.25,105.24401470667559,nr_particles=12; k=6; scaling=1000.0
PSO,0.9615621200006947,0.041143548478126374,0.1,373.9,54.106036242684944,nr_particles=12; k=3; scaling=10.0
PSO,0.9448534503541683,0.04456332314082907,0.0,246.35,113.64917162270174,nr_particles=12; k=3; scaling=100.0
PSO,0.9578468186718186,0.05105894669819065,0.2,254.55,87.3097781947764,nr_particles=12; k=3; scaling=1000.0
PSO,0.9657854070259163,0.03802184610715239,0.3,327.1,87.09516875839114,nr_particles=12; k=2; scaling=10.0
PSO,0.8856815795147117,0.06947411184198685,0.0,129.45,70.71400888530914,nr_particles=12; k=2; scaling=100.0
PSO,0.9187073923665373,0.05957155377820437,0.0,106.3,39.85249117221631,nr_particles=12; k=2; scaling=1000.0
PSO,0.9242617924280814,0.05121677932875084,0.0,115.4,23.09112383579457,nr_particles=12; k=1; scaling=10.0
PSO,0.8274436862839685,0.08823436508954356,0.05,25.1,8.245572974888436,nr_particles=12; k=1; scaling=100.0
PSO,0.8247843265900998,0.09223011823891872,0.0,13.6,2.500526260399472,nr_particles=12; k=1; scaling=1000.0
PSO,0.9921125890681723,0.005439630269810342,0.2,833.05,26.023218377764927,nr_particles=264; k=26; scaling=1000.0
PSO,0.9951438846985978,0.007271800998018601,0.6,835.15,15.908537926137916,nr_particles=160; k=80; scaling=10.0
PSO,0.9983701589864349,0.004970187441085032,0.85,835.8,28.69549753789553,nr_particles=160; k=80; scaling=100.0
PSO,0.9942742834516732,0.005402307387208664,0.35,835.8,25.71626558794013,nr_particles=160; k=16; scaling=100.0
PSO,0.9894956945038181,0.014800043012391365,0.35,828.9,25.79249176754637,nr_particles=160; k=16; scaling=1000.0
PSO,0.9978466221134402,0.004592191798524225,0.8,821.15,14.790733229751803,nr_particles=80; k=40; scaling=10.0
PSO,0.9994599746022922,0.002415066997701824,0.95,814.7,12.265055195447284,nr_particles=80; k=40; scaling=100.0
PSO,0.9988242695511518,0.0037672247990489125,0.9,813.35,8.71341977701788,nr_particles=80; k=40; scaling=1000.0
PSO,0.9937678376796459,0.014781682488121659,0.7,825.75,18.321327807546563,nr_particles=80; k=26; scaling=10.0
PSO,0.9979364856381349,0.0038589945597954493,0.75,817,8.765962882830266,nr_particles=80; k=26; scaling=100.0
PSO,0.9943719968341731,0.010725215502726005,0.6,817.55,10.58536725862641,nr_particles=80; k=26; scaling=1000.0
