GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.342718302621017,0.2679166402675814,0.0,11.4,4.2102631496705385,nr_particles=3; k=1; scaling=10.0
PSO,0.19437101537031862,0.2375077203829687,0.0,3.75,0.9665456669582609,nr_particles=3; k=1; scaling=100.0
PSO,0.3012118417869319,0.2516996411486101,0.0,3.55,1.6693837501494848,nr_particles=3; k=1; scaling=1000.0
PSO,0.3017668095692512,0.2961378810647674,0.0,11.05,5.520059114862716,nr_particles=3; k=1; scaling=10.0
PSO,0.11763648314577452,0.2159802439409396,0.0,3.55,1.2763022245616642,nr_particles=3; k=1; scaling=100.0
PSO,0.2431553576863385,0.2924995511191597,0.0,3,0.0,nr_particles=3; k=1; scaling=1000.0
PSO,0.3267119249756981,0.34525850106469164,0.0,13.5,8.369745012779504,nr_particles=3; k=1; scaling=10.0
PSO,0.30553716441267464,0.3207671147802484,0.0,3.75,1.118033988749895,nr_particles=3; k=1; scaling=100.0
PSO,0.19307974046804466,0.2810314412996825,0.0,3,0.0,nr_particles=3; k=1; scaling=1000.0
PSO,0.262522556535155,0.2609027568918969,0.0,11.25,6.298496061091008,nr_particles=3; k=1; scaling=10.0
PSO,0.23555867098423489,0.22700363801843185,0.0,3.25,0.6386663736585051,nr_particles=3; k=1; scaling=100.0
PSO,0.19247965382992685,0.24723756581849587,0.0,3.15,0.4893604849295929,nr_particles=3; k=1; scaling=1000.0
PSO,0.8994640590146218,0.06185867951575725,0.0,206.8,4.047091223140523,nr_particles=20; k=10; scaling=10.0
PSO,0.899057906777133,0.06972686247039102,0.0,206.35,4.760307376187957,nr_particles=20; k=10; scaling=100.0
PSO,0.9095045466649992,0.0718367775682691,0.15,206.15,5.677981479734724,nr_particles=20; k=10; scaling=1000.0
PSO,0.8780317187809522,0.07068780745101948,0.05,206.7,3.686390332589663,nr_particles=20; k=6; scaling=10.0
PSO,0.8984715779034825,0.07807996952931112,0.0,207,4.291975376394761,nr_particles=20; k=6; scaling=100.0
PSO,0.8850421324096132,0.06015834056598423,0.0,206.55,4.7292482990094955,nr_particles=20; k=6; scaling=1000.0
PSO,0.873741237295793,0.052727632207459095,0.05,205.3,4.156162197331369,nr_particles=20; k=4; scaling=10.0
PSO,0.8939301412181706,0.07046049874305242,0.0,203.65,3.9506828190633207,nr_particles=20; k=4; scaling=100.0
PSO,0.8844528600228561,0.07350680309756516,0.0,206.35,3.5581633346137265,nr_particles=20; k=4; scaling=1000.0
PSO,0.8381159849082782,0.057271100365264394,0.0,202.3,3.096687534158157,nr_particles=20; k=2; scaling=10.0
PSO,0.8293955325796655,0.06029986947657356,0.0,161.65,62.314376984347426,nr_particles=20; k=2; scaling=100.0
PSO,0.798642318069373,0.20354495470091086,0.05,180.25,57.910888895194645,nr_particles=20; k=2; scaling=1000.0
PSO,0.8858159184586658,0.0632272646140691,0.0,202.1,1.9166857359844665,nr_particles=14; k=7; scaling=10.0
PSO,0.8863397479260035,0.05397436700898722,0.0,203.45,2.7429335045761345,nr_particles=14; k=7; scaling=100.0
PSO,0.8924776315151668,0.0653234744655834,0.0,202.5,2.2826577307580465,nr_particles=14; k=7; scaling=1000.0
PSO,0.874856328537104,0.057297379562903206,0.0,202.1,2.0235456115702615,nr_particles=14; k=4; scaling=10.0
PSO,0.8674506879475115,0.16158340999897897,0.0,191.35,42.55185690796337,nr_particles=14; k=4; scaling=100.0
PSO,0.8960945759896746,0.10854944298232261,0.0,192.4,42.014283285568496,nr_particles=14; k=4; scaling=1000.0
PSO,0.8430586060065948,0.07342645143814754,0.0,195.1,22.157094622383667,nr_particles=14; k=2; scaling=10.0
PSO,0.7642699056786894,0.1775603835453944,0.0,167,62.745098361713104,nr_particles=14; k=2; scaling=100.0
PSO,0.7364450690803456,0.2752554801344684,0.0,141.8,68.64370251331758,nr_particles=14; k=2; scaling=1000.0
PSO,0.633011894216938,0.16916545003446776,0.0,57.6,13.869314861839502,nr_particles=14; k=1; scaling=10.0
PSO,0.5790233057761495,0.26826555147395453,0.0,18.5,2.585384019118976,nr_particles=14; k=1; scaling=100.0
PSO,0.511633293689226,0.23709679619456406,0.0,14.25,0.4442616583193193,nr_particles=14; k=1; scaling=1000.0
PSO,0.8052794114139844,0.20152447845524016,0.0,123.7,55.567976389283785,nr_particles=6; k=3; scaling=10.0
PSO,0.5998653061182596,0.3669603295810313,0.0,96,76.18882360363142,nr_particles=6; k=3; scaling=100.0
PSO,0.606206793657077,0.4099749520805016,0.0,90,71.1802752098316,nr_particles=6; k=3; scaling=1000.0
PSO,0.5392171655552263,0.26223637212833845,0.0,22.6,8.846051750863058,nr_particles=6; k=1; scaling=10.0
PSO,0.4003115303951465,0.22410518145112124,0.0,7.25,1.6181535936466533,nr_particles=6; k=1; scaling=100.0
PSO,0.4025085268149155,0.24855989931239592,0.0,6.2,0.5231483637805969,nr_particles=6; k=1; scaling=1000.0
PSO,0.5822798034148492,0.2366472461981677,0.0,22.65,6.937882279652473,nr_particles=6; k=1; scaling=10.0
PSO,0.438104781822172,0.2309288017929809,0.0,7.45,1.7614288458371994,nr_particles=6; k=1; scaling=100.0
PSO,0.3556777469423527,0.2946858324490923,0.0,6,0.0,nr_particles=6; k=1; scaling=1000.0
PSO,0.504355262617155,0.26329553234793507,0.05,23.7,6.061960773631964,nr_particles=6; k=1; scaling=10.0
PSO,0.3287239166666972,0.2787286825180511,0.0,7.35,1.5652475842498528,nr_particles=6; k=1; scaling=100.0
PSO,0.3472038450949095,0.2858249965680999,0.0,6,0.0,nr_particles=6; k=1; scaling=1000.0
