GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.6017207567293876,0.3460722984881617,0.0,63.2,44.81728989669289,nr_particles=10; k=2; scaling=100.0
PSO,0.7279278413712374,0.1895757974131523,0.05,64.4,42.93250516799596,nr_particles=10; k=2; scaling=1000.0
PSO,0.652896698452425,0.18764207021068885,0.0,39.75,10.243740065343117,nr_particles=10; k=1; scaling=10.0
PSO,0.6240728400857972,0.1722993033539634,0.0,12.55,2.87411313552363,nr_particles=10; k=1; scaling=100.0
PSO,0.5656928758421081,0.203198541914699,0.0,10.6,1.353358395757909,nr_particles=10; k=1; scaling=1000.0
PSO,0.8455750012115004,0.08800363996182078,0.05,98.4,6.976652794179048,nr_particles=7; k=3; scaling=10.0
PSO,0.6848637588538428,0.32634810626590016,0.0,81.3,38.16184371580432,nr_particles=7; k=3; scaling=100.0
PSO,0.6233201662465779,0.38307912890174184,0.0,65,42.836285651548415,nr_particles=7; k=3; scaling=1000.0
PSO,0.7322016911368547,0.22948519028758452,0.0,84.85,26.70555826237795,nr_particles=7; k=2; scaling=10.0
PSO,0.48808238941881266,0.33842645826663176,0.0,37.05,38.49876963174141,nr_particles=7; k=2; scaling=100.0
PSO,0.4540152104096664,0.38424200616065557,0.0,41.05,41.271214640409326,nr_particles=7; k=2; scaling=1000.0
PSO,0.4927527484755466,0.25311083149068114,0.0,26.05,9.928560610152596,nr_particles=7; k=1; scaling=10.0
PSO,0.419825015953649,0.24445988385659487,0.0,8.95,1.9324105480761042,nr_particles=7; k=1; scaling=100.0
PSO,0.3905532709014154,0.2986597852941296,0.0,7.45,0.998683343734455,nr_particles=7; k=1; scaling=1000.0
PSO,0.5642717199302764,0.19626624580009125,0.0,27.45,10.956733089748969,nr_particles=7; k=1; scaling=10.0
PSO,0.4233338909098455,0.20018947512659405,0.0,8.4,1.2732056517228265,nr_particles=7; k=1; scaling=100.0
PSO,0.3791560528367757,0.3510690092248229,0.0,7.05,0.22360679774997896,nr_particles=7; k=1; scaling=1000.0
PSO,0.32855414140239236,0.30404894281289996,0.0,11.55,5.889106803868344,nr_particles=3; k=1; scaling=10.0
PSO,0.3175826025094656,0.33192215562158883,0.0,3.8,1.2814465510343749,nr_particles=3; k=1; scaling=100.0
PSO,0.21898942317070955,0.23913830963266802,0.0,3,0.0,nr_particles=3; k=1; scaling=1000.0
PSO,0.38392550957310906,0.339109681895265,0.0,11.45,6.581273273063264,nr_particles=3; k=1; scaling=10.0
PSO,0.3382448857940751,0.2807995544569983,0.0,3.8,1.0052493799000692,nr_particles=3; k=1; scaling=100.0
PSO,0.26391137256839037,0.2721698738626954,0.0,3,0.0,nr_particles=3; k=1; scaling=1000.0
PSO,0.3421083263623551,0.279908494575137,0.0,11.8,4.990517323674444,nr_particles=3; k=1; scaling=10.0
PSO,0.17958047089870768,0.22234249252882923,0.0,4,1.6222142113076254,nr_particles=3; k=1; scaling=100.0
PSO,0.1485403199322369,0.2170006504962382,0.0,3.2,0.6958523739384593,nr_particles=3; k=1; scaling=1000.0
PSO,0.3071451089981248,0.2770971897065938,0.0,11.9,6.584671194284655,nr_particles=3; k=1; scaling=10.0
PSO,0.2786387061991935,0.28804276914343657,0.0,4.3,1.688973528196155,nr_particles=3; k=1; scaling=100.0
PSO,0.2298782285061069,0.28235280344330327,0.0,3,0.0,nr_particles=3; k=1; scaling=1000.0
PSO,0.9103102746035275,0.05632510066689696,0.0,208.1,5.128865679455326,nr_particles=20; k=10; scaling=10.0
PSO,0.8165256087965438,0.28630040730757395,0.0,187.95,56.23959552897903,nr_particles=20; k=10; scaling=100.0
PSO,0.9121757553851538,0.06086861627570958,0.0,206.8,4.829732475973559,nr_particles=20; k=10; scaling=1000.0
PSO,0.8985326897808082,0.05955442026906641,0.0,207.35,4.392277912787156,nr_particles=20; k=6; scaling=10.0
PSO,0.9111296114178864,0.05109514812194454,0.0,208.25,4.6097722286464435,nr_particles=20; k=6; scaling=100.0
PSO,0.9161673766484917,0.044408056887692,0.0,206.05,4.135532804723881,nr_particles=20; k=6; scaling=1000.0
PSO,0.8895320261755584,0.056370207452415395,0.0,204.35,3.328900561351814,nr_particles=20; k=4; scaling=10.0
PSO,0.8779817178752504,0.06398326817909085,0.0,205.35,3.9904491239115325,nr_particles=20; k=4; scaling=100.0
PSO,0.8840798419637076,0.05375831862006084,0.0,205,4.757265910937544,nr_particles=20; k=4; scaling=1000.0
PSO,0.8669178643876383,0.07323436942037874,0.0,200.45,10.684346641601195,nr_particles=20; k=2; scaling=10.0
PSO,0.8742202048357137,0.1021691275206732,0.0,191,40.86820923793688,nr_particles=20; k=2; scaling=100.0
PSO,0.8401962574892665,0.11974175745868,0.0,169.2,68.64370251331758,nr_particles=20; k=2; scaling=1000.0
PSO,0.9107122716842837,0.05003828701812702,0.0,203.25,3.522484171269206,nr_particles=14; k=7; scaling=10.0
PSO,0.8736525699456663,0.21142392125608808,0.05,193.45,41.83359893673983,nr_particles=14; k=7; scaling=100.0
PSO,0.8817340473969163,0.21317913554578774,0.05,194.25,42.53527947480773,nr_particles=14; k=7; scaling=1000.0
PSO,0.870943041529772,0.21192313581288863,0.0,196.3,29.10977408652326,nr_particles=14; k=4; scaling=10.0
PSO,0.8333897854122332,0.2076784215399838,0.05,193.25,42.0073615102476,nr_particles=14; k=4; scaling=100.0
PSO,0.9063336057135292,0.05596775567417705,0.0,202.75,2.593006789525688,nr_particles=14; k=4; scaling=1000.0
PSO,0.8814785626536484,0.05900143866560476,0.0,201.25,5.189817966587633,nr_particles=14; k=2; scaling=10.0
PSO,0.8151964782915447,0.12982664119157025,0.0,162.5,69.23833741808835,nr_particles=14; k=2; scaling=100.0
PSO,0.7665132009459026,0.13002166584276073,0.0,117.95,79.68720097983113,nr_particles=14; k=2; scaling=1000.0
PSO,0.740008920815415,0.1020070536230429,0.0,52.3,12.76549625893338,nr_particles=14; k=1; scaling=10.0
PSO,0.5078580838563215,0.220960481178122,0.0,17.65,2.5603248149199227,nr_particles=14; k=1; scaling=100.0
PSO,0.5258832543686301,0.2265348731676392,0.0,14.3,0.5712405705774795,nr_particles=14; k=1; scaling=1000.0
PSO,0.8621710976183425,0.092305681984128,0.0,142.7,51.26720507097567,nr_particles=6; k=3; scaling=10.0
PSO,0.5955558864019916,0.36703832752497495,0.0,103.3,68.69007436150781,nr_particles=6; k=3; scaling=100.0
PSO,0.6374530986976396,0.39174637100186105,0.0,110.2,84.31057872064767,nr_particles=6; k=3; scaling=1000.0
PSO,0.45547032431721424,0.2827623958161383,0.0,22.35,9.365530305046097,nr_particles=6; k=1; scaling=10.0
PSO,0.48913229939457176,0.2985395460976368,0.0,6.5,1.0,nr_particles=6; k=1; scaling=100.0
PSO,0.35759300096737495,0.2630025758066394,0.0,6.2,0.5231483637805969,nr_particles=6; k=1; scaling=1000.0
PSO,0.45984933739091405,0.2828791987466814,0.0,23.7,8.897663797460071,nr_particles=6; k=1; scaling=10.0
PSO,0.34903383604954696,0.30581480891140883,0.0,7.15,1.1821033884786185,nr_particles=6; k=1; scaling=100.0
PSO,0.33151075000388297,0.22381877731551197,0.0,6.35,0.9333020044867295,nr_particles=6; k=1; scaling=1000.0
PSO,0.428947787537548,0.29761137840331486,0.0,24.3,10.260296497203496,nr_particles=6; k=1; scaling=10.0
PSO,0.4119487620993672,0.3262636314866643,0.0,7,0.9733285267845752,nr_particles=6; k=1; scaling=100.0
PSO,0.4814320289037989,0.28896555683893516,0.0,6.15,0.4893604849295929,nr_particles=6; k=1; scaling=1000.0
PSO,0.9269457084073258,0.053447956195794746,0.05,418,10.141109666262262,nr_particles=80; k=8; scaling=10.0
