GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.4617504390636326,0.3601765268833951,0.0,17.72,11.358786942993804,nr_particles=4; k=1; scaling=10.0
PSO,0.34210158344667474,0.3111988073147782,0.0,4.98,1.347560153517066,nr_particles=4; k=1; scaling=100.0
PSO,0.31347384943896855,0.33331567682429786,0.0,4.06,0.2398979374820952,nr_particles=4; k=1; scaling=1000.0
PSO,0.9455050367318628,0.1398525687459738,0.16,203.4,20.336957410947537,nr_particles=20; k=10; scaling=10.0
PSO,0.9582110536221503,0.03286918290472112,0.06,207.06,4.3161301639126615,nr_particles=20; k=10; scaling=100.0
PSO,0.9582498818286012,0.03491593356119046,0.04,206.76,4.326284167028046,nr_particles=20; k=10; scaling=1000.0
PSO,0.9514000439703547,0.034218280677167826,0.04,205.82,4.168345240118232,nr_particles=20; k=6; scaling=10.0
PSO,0.956462277848268,0.03179887747521328,0.02,205.04,4.5801702133952915,nr_particles=20; k=6; scaling=100.0
PSO,0.9540555483102057,0.03195973703078813,0.08,205.62,4.024871654690953,nr_particles=20; k=6; scaling=1000.0
PSO,0.9500140292993825,0.03179386739577061,0.02,205.06,4.344407617963628,nr_particles=20; k=4; scaling=10.0
PSO,0.936086241288188,0.1380805953882187,0.06,202.3,25.459251155282537,nr_particles=20; k=4; scaling=100.0
PSO,0.9451252119666155,0.0561044932635975,0.0,201.4,26.43436229993229,nr_particles=20; k=4; scaling=1000.0
PSO,0.9270227360285247,0.03675704226033844,0.02,202.4,6.981023841640352,nr_particles=20; k=2; scaling=10.0
PSO,0.9025465237678282,0.13968910954725738,0.0,174.42,52.502707413182854,nr_particles=20; k=2; scaling=100.0
PSO,0.9000163939658165,0.10189348962846916,0.06,170.54,60.33823372439395,nr_particles=20; k=2; scaling=1000.0
PSO,0.9666075137630286,0.023574232822455552,0.06,201.96,7.599570342312459,nr_particles=14; k=7; scaling=10.0
PSO,0.9451200387360637,0.13842866856654124,0.1,198.24,27.067232995650226,nr_particles=14; k=7; scaling=100.0
PSO,0.9183137970995241,0.1912894321602403,0.04,194.94,37.33762669676447,nr_particles=14; k=7; scaling=1000.0
PSO,0.9527322946385814,0.03478631453963028,0.04,202.9,4.708871349671289,nr_particles=14; k=4; scaling=10.0
PSO,0.895033746499939,0.20655494328934515,0.04,187.48,51.07946590103203,nr_particles=14; k=4; scaling=100.0
PSO,0.9339899274081656,0.13992206336393925,0.04,198.28,27.041193066301265,nr_particles=14; k=4; scaling=1000.0
PSO,0.9345486072999551,0.04367425285442288,0.0,193.04,26.083038510863407,nr_particles=14; k=2; scaling=10.0
PSO,0.7874307984454055,0.3148311936302875,0.0,136.62,74.08844411256325,nr_particles=14; k=2; scaling=100.0
PSO,0.8576842376110223,0.21265830656773899,0.0,152.58,64.65073827253384,nr_particles=14; k=2; scaling=1000.0
PSO,0.7354838323489199,0.16695045875674178,0.0,54.84,13.265514598047842,nr_particles=14; k=1; scaling=10.0
PSO,0.6802064253594172,0.1907844244613033,0.0,17.54,2.4177067900076263,nr_particles=14; k=1; scaling=100.0
PSO,0.5334392011577155,0.2692504309689863,0.0,14.28,0.5360475154083919,nr_particles=14; k=1; scaling=1000.0
PSO,0.8345659210346208,0.29277765595178723,0.04,119.12,60.15681548236734,nr_particles=6; k=3; scaling=10.0
PSO,0.7387305783097321,0.37561942651561026,0.0,105.52,70.26545584933102,nr_particles=6; k=3; scaling=100.0
PSO,0.7177234068864876,0.39144182086997376,0.02,96.34,62.35959248993056,nr_particles=6; k=3; scaling=1000.0
PSO,0.5744838385521667,0.262074409558807,0.0,21.98,6.804830217258495,nr_particles=6; k=1; scaling=10.0
PSO,0.34257795191987617,0.3241346464602606,0.0,7.32,1.5706491573582573,nr_particles=6; k=1; scaling=100.0
PSO,0.4161376825288932,0.3333854495745132,0.0,6.08,0.4444671196029727,nr_particles=6; k=1; scaling=1000.0
PSO,0.5414661283799789,0.3127866525450539,0.0,22.8,9.075645813867766,nr_particles=6; k=1; scaling=10.0
PSO,0.39565866997886223,0.31548679552656483,0.0,7.74,2.431175074917057,nr_particles=6; k=1; scaling=100.0
PSO,0.4317276222558887,0.3363773578860509,0.0,6.08,0.27404751561786966,nr_particles=6; k=1; scaling=1000.0
PSO,0.4584632719723138,0.32994268722043196,0.0,23.78,9.819368615140181,nr_particles=6; k=1; scaling=10.0
PSO,0.40205040095128886,0.31620641650758397,0.0,7.84,2.2256390964743367,nr_particles=6; k=1; scaling=100.0
PSO,0.42256296272156735,0.28644176808604693,0.0,6.2,0.5714285714285714,nr_particles=6; k=1; scaling=1000.0
PSO,0.980829881287741,0.024373874762245788,0.22,411.08,7.20781888376952,nr_particles=40; k=20; scaling=10.0
PSO,0.9828939577758888,0.019059542168326258,0.3,410.86,7.510563988714258,nr_particles=40; k=20; scaling=100.0
PSO,0.9822788517851011,0.01770671735133753,0.2,410.58,9.540654151191786,nr_particles=40; k=20; scaling=1000.0
PSO,0.9841684301080413,0.0164324474067455,0.16,411.66,8.042260825394402,nr_particles=40; k=13; scaling=10.0
PSO,0.9813919211134461,0.01799704376271375,0.16,410.54,6.707321616361193,nr_particles=40; k=13; scaling=100.0
PSO,0.9754716263407203,0.02661077716046176,0.16,409.88,6.769197944832647,nr_particles=40; k=13; scaling=1000.0
PSO,0.9755362372606021,0.023384086026205855,0.08,413.86,8.025495089312026,nr_particles=40; k=8; scaling=10.0
PSO,0.9698181937655381,0.019293883277190442,0.06,411.94,7.382853825740078,nr_particles=40; k=8; scaling=100.0
PSO,0.9771251076278207,0.018689234124558463,0.22,411.46,8.744000858897953,nr_particles=40; k=8; scaling=1000.0
PSO,0.9630303905629227,0.024770195052980074,0.02,412.72,7.66129951144593,nr_particles=40; k=4; scaling=10.0
PSO,0.9650957665284299,0.02630914292339673,0.04,410.62,6.592791363237857,nr_particles=40; k=4; scaling=100.0
PSO,0.9591299512361483,0.02321856218181728,0.02,409.96,6.30827121438875,nr_particles=40; k=4; scaling=1000.0
PSO,0.9866835427684998,0.016752194253151814,0.28,403.38,13.255557171177957,nr_particles=28; k=14; scaling=10.0
PSO,0.985485212162867,0.017407483111269134,0.28,404.42,6.633526473105218,nr_particles=28; k=14; scaling=100.0
PSO,0.9830000397165612,0.021459682051599437,0.24,404.9,5.365231988061121,nr_particles=28; k=14; scaling=1000.0
PSO,0.9825624853073545,0.016731797534009846,0.14,405.88,6.532930710903751,nr_particles=28; k=9; scaling=10.0
PSO,0.9838141675813263,0.016553105617943476,0.24,404.72,5.050924344582275,nr_particles=28; k=9; scaling=100.0
PSO,0.9778625887243642,0.021065685299599617,0.16,404.84,5.30059680890862,nr_particles=28; k=9; scaling=1000.0
PSO,0.9665402902033455,0.021651590145401006,0.04,407.08,5.927590280258264,nr_particles=28; k=5; scaling=10.0
PSO,0.9708485248048928,0.021470540431460235,0.14,406.1,4.891683905218266,nr_particles=28; k=5; scaling=100.0
PSO,0.9834564369828078,0.01834593603517219,0.18,401.5,15.293389261443679,nr_particles=28; k=5; scaling=1000.0
PSO,0.9524074192876446,0.027588270169736376,0.06,399.6,19.577162872143884,nr_particles=28; k=2; scaling=10.0
PSO,0.947007453991974,0.047419038389169194,0.02,344.62,96.2282342206511,nr_particles=28; k=2; scaling=100.0
PSO,0.9449365362063763,0.05757660264541817,0.04,342.66,102.01352651406937,nr_particles=28; k=2; scaling=1000.0
PSO,0.9592782916783181,0.13996345771321497,0.16,291.5,84.68434787792962,nr_particles=12; k=6; scaling=10.0
PSO,0.960104213520962,0.14032298647804567,0.26,294.46,79.9091856996658,nr_particles=12; k=6; scaling=100.0
PSO,0.9642564344583736,0.13997381152962038,0.22,265.6,75.5942444629111,nr_particles=12; k=6; scaling=1000.0
PSO,0.9457581898571554,0.14068065206106828,0.08,290.8,89.57473222433447,nr_particles=12; k=3; scaling=10.0
