convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.20166512716860557,0.2640392770714766,0.0,4.9,2.447340124341226,nr_particles=3; k=1; scaling=100.0
PSO,0.25203321131935597,0.2441435341923076,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.43558140602462303,0.25068347178277844,0.0,19.6,8.822220749186025,nr_particles=3; k=1; scaling=10.0
PSO,0.3265354835743589,0.2694869787022604,0.0,3.65,0.8750939799154206,nr_particles=3; k=1; scaling=100.0
PSO,0.3152682675031264,0.24544068888914577,0.0,3.1,0.30779350562554625,nr_particles=3; k=1; scaling=1000.0
PSO,0.265496044614421,0.2646059486780779,0.0,3.9,1.0711528467275955,nr_particles=1; k=1; scaling=10.0
PSO,0.11476501266707574,0.18568210207995567,0.0,1.15,0.36634754853252327,nr_particles=1; k=1; scaling=100.0
PSO,0.09978775500552958,0.1811319924370754,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.14535617406680176,0.22287355381608576,0.0,7.95,11.208431976348033,nr_particles=1; k=1; scaling=10.0
PSO,0.2023101225138914,0.25677901636230405,0.0,1.55,1.5719582155957412,nr_particles=1; k=1; scaling=100.0
PSO,0.13752683430657428,0.22630759926155164,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.1841482074935734,0.29615851493170847,0.0,5.25,4.203695116392119,nr_particles=1; k=1; scaling=10.0
PSO,0.07352402377568724,0.17217163756395668,0.0,1.3,0.47016234598162726,nr_particles=1; k=1; scaling=100.0
PSO,0.13540893574045218,0.1727583332958108,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.12731882569145203,0.18928915674362123,0.0,5.5,2.781517949836592,nr_particles=1; k=1; scaling=10.0
PSO,0.08549688478664771,0.1928754838986307,0.0,1.75,0.8506963092234007,nr_particles=1; k=1; scaling=100.0
PSO,0.0473726377960897,0.11393220971129087,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.7848245812997916,0.06867863556693718,0.0,104.75,21.242645786248,nr_particles=100; k=33; scaling=100.0
PSO,0.8094280090106942,0.07186899133650178,0.0,105,3.340343505815248,nr_particles=20; k=6; scaling=100.0
PSO,0.7489056500576355,0.10754038482794465,0.0,94,18.42195486512307,nr_particles=20; k=2; scaling=100.0
PSO,0.7826749185163181,0.08273456663624609,0.05,96.35,12.917857896399811,nr_particles=20; k=2; scaling=1000.0
PSO,0.8029174969146624,0.08018820647854845,0.0,103.1,2.5935141776118527,nr_particles=10; k=5; scaling=10.0
PSO,0.7752402900965161,0.06637863733190746,0.0,101.85,2.1830688201896455,nr_particles=10; k=5; scaling=100.0
PSO,0.7934800748385524,0.09327638396051244,0.0,101.95,2.0384462607326044,nr_particles=10; k=5; scaling=1000.0
PSO,0.7980770540190765,0.0844181812494179,0.0,101.55,3.5905577927611603,nr_particles=10; k=3; scaling=10.0
PSO,0.7907817788406568,0.11510775947802147,0.05,94.45,20.806059340085472,nr_particles=10; k=3; scaling=100.0
PSO,0.7776731502600853,0.10408545793710323,0.0,96.1,17.651300831741313,nr_particles=10; k=3; scaling=1000.0
PSO,0.7393627327413824,0.09855859681079193,0.0,97.8,11.157249236541944,nr_particles=10; k=2; scaling=10.0
PSO,0.679772966088751,0.1830951538037771,0.0,69.9,32.10656597874286,nr_particles=10; k=2; scaling=100.0
PSO,0.6873192330593768,0.22039645113264292,0.0,69.85,30.02678628719434,nr_particles=10; k=2; scaling=1000.0
PSO,0.6505642560038762,0.12465540810089613,0.0,57,15.791403390852619,nr_particles=10; k=1; scaling=10.0
PSO,0.4885013914957475,0.21181496642227238,0.0,14.15,2.8335397241649978,nr_particles=10; k=1; scaling=100.0
PSO,0.4698818086385723,0.22697652336264357,0.0,10.45,0.5104177855340404,nr_particles=10; k=1; scaling=1000.0
PSO,0.7915638931704062,0.08757388536811266,0.05,94.75,14.421748926717008,nr_particles=7; k=3; scaling=10.0
PSO,0.6632046852408651,0.24732601023410894,0.0,86.5,27.778257305802473,nr_particles=7; k=3; scaling=100.0
PSO,0.7191074318125982,0.20497041952442355,0.0,86.75,24.159285019047623,nr_particles=7; k=3; scaling=1000.0
PSO,0.7144495394538295,0.15321723737605755,0.0,86.5,22.591335087874544,nr_particles=7; k=2; scaling=10.0
PSO,0.5932598586545424,0.22762633085157594,0.0,54.4,27.153365595408147,nr_particles=7; k=2; scaling=100.0
PSO,0.6237934149766109,0.20786748882103803,0.0,58.75,32.69777877535575,nr_particles=7; k=2; scaling=1000.0
PSO,0.5240161259784356,0.16566316339504109,0.0,41.65,11.249678357975162,nr_particles=7; k=1; scaling=10.0
PSO,0.3981571634116725,0.22356105044240648,0.0,9.35,1.8431951662948316,nr_particles=7; k=1; scaling=100.0
PSO,0.4262322020588782,0.20251494097814432,0.0,7.45,0.6048053188292994,nr_particles=7; k=1; scaling=1000.0
PSO,0.626226787486562,0.12428750502451796,0.0,43.7,14.600288389365176,nr_particles=7; k=1; scaling=10.0
PSO,0.48825917786701517,0.16897834856775296,0.0,10.9,3.307089672999987,nr_particles=7; k=1; scaling=100.0
PSO,0.4988028494941706,0.20761235552909138,0.0,7.2,0.41039134083406165,nr_particles=7; k=1; scaling=1000.0
PSO,0.4630759907554901,0.26488129191888304,0.0,18.55,10.980724738808167,nr_particles=3; k=1; scaling=10.0
PSO,0.20615377454950057,0.2513947796249881,0.0,4.6,2.3929721664644754,nr_particles=3; k=1; scaling=100.0
PSO,0.1940397162039829,0.21639594022374656,0.0,3,0.0,nr_particles=3; k=1; scaling=1000.0
PSO,0.3312896099745788,0.28719056090173534,0.0,16.6,7.735087520343155,nr_particles=3; k=1; scaling=10.0
PSO,0.29481345173649226,0.2717164028375419,0.0,4.85,2.2542357790099112,nr_particles=3; k=1; scaling=100.0
PSO,0.18088175052532574,0.2013450601113699,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.3771320849346739,0.2976330841230354,0.0,18.95,7.584436973864725,nr_particles=3; k=1; scaling=10.0
PSO,0.3189803003405639,0.2413922535785985,0.0,3.95,0.7591546545162482,nr_particles=3; k=1; scaling=100.0
PSO,0.36496890201720905,0.22988734996357915,0.0,3.15,0.36634754853252327,nr_particles=3; k=1; scaling=1000.0
PSO,0.40784620826936396,0.2517224357639252,0.0,21.45,12.762919151321059,nr_particles=3; k=1; scaling=10.0
PSO,0.23085712703202485,0.25052399052436847,0.0,4.25,1.4095538674570611,nr_particles=3; k=1; scaling=100.0
PSO,0.2735149085699521,0.25772664820978924,0.0,3.2,0.41039134083406165,nr_particles=3; k=1; scaling=1000.0
PSO,0.8486986568572263,0.051014398845057735,0.0,204.1,3.4166773641253156,nr_particles=20; k=10; scaling=10.0
PSO,0.8488977904714987,0.05605928957366717,0.0,204.3,3.48077426353451,nr_particles=20; k=10; scaling=100.0
PSO,0.8689181579704222,0.05866542436138606,0.05,206.4,4.977845655343389,nr_particles=20; k=10; scaling=1000.0
PSO,0.8771706848941547,0.06852568047356995,0.05,204.1,4.011824627536112,nr_particles=20; k=6; scaling=10.0
