pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.8846697514180429,0.11686693953927325,0.05,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.8574505651409917,0.07039356407221807,0.0,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.7321301252813085,0.21797298666761722,0.0,25,0.0,walksize=0.1; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.8475789786604836,0.08810893716264195,0.05,24.6,1.7888543819998317,walksize=0.1; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.8661002843134552,0.11601014691145907,0.0,25,0.0,walksize=0.1; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.8544633013948687,0.07053172983474787,0.05,24.4,2.6832815729997477,walksize=0.1; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.8439828843251757,0.13035200478802847,0.05,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.8736238289319844,0.07135239286018862,0.0,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.8811287356078059,0.1407702663973912,0.1,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.8048793245734984,0.0667258193561253,0.0,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.7425506629841272,0.15532193180742493,0.0,25,0.0,walksize=0.2; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.858872509655379,0.07237861498784821,0.05,24.8,0.8944271909999159,walksize=0.2; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.8447602709827771,0.14524516582653255,0.0,25,0.0,walksize=0.2; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.8429584157820976,0.06052551686248306,0.05,25,0.0,walksize=0.2; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.8042423545569728,0.19820167628657182,0.05,25,0.0,walksize=0.2; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.8847629246219922,0.0788629506877244,0.05,24.9,0.4472135954999579,walksize=0.2; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.9052107243566904,0.10069585424676979,0.05,25,0.0,walksize=0.2; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.8586760999596209,0.07607949088215041,0.0,25,0.0,walksize=0.2; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.8080550251503347,0.17855233736855372,0.05,25,0.0,walksize=0.2; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.8774223021572498,0.0805910750840416,0.0,25,0.0,walksize=0.2; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.8613660130124247,0.14690603865391239,0.1,25,0.0,walksize=0.2; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.8546177974481468,0.0835522806330838,0.05,25,0.0,walksize=0.2; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.7464252308420297,0.20019618972748493,0.05,25,0.0,walksize=0.2; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.8658189385748346,0.06404744896463746,0.0,25,0.0,walksize=0.2; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.875220050243502,0.08946598045976463,0.0,25,0.0,walksize=0.2; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.833400190360753,0.05928645242844501,0.0,25,0.0,walksize=0.2; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.8263422822355768,0.1542383964831127,0.0,25,0.0,walksize=0.2; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.855198246826804,0.05955936824444439,0.0,25,0.0,walksize=0.2; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.904291748701292,0.12031524865404729,0.0,25,0.0,walksize=0.2; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.8684891803501824,0.08097620455724912,0.05,24.55,2.0124611797498106,walksize=0.2; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.7281358666245685,0.19337997230007511,0.05,25,0.0,walksize=0.2; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.8701809454495083,0.06478727360952508,0.0,25,0.0,walksize=0.2; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.8790074853985143,0.11635725163356843,0.0,25,0.0,walksize=0.2; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.8367576194720052,0.04448423766910265,0.0,25,0.0,walksize=0.2; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.7693138790266706,0.19918596693988208,0.05,25,0.0,walksize=0.35; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.872647775545647,0.0628638039979285,0.0,25,0.0,walksize=0.35; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.8976567204968927,0.1357537318486903,0.0,25,0.0,walksize=0.35; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.8316546259979157,0.05417390277714962,0.0,25,0.0,walksize=0.35; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.7485527113158501,0.21427941819279037,0.0,25,0.0,walksize=0.35; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.8784320607753208,0.09144112184930453,0.05,24.95,0.22360679774997896,walksize=0.35; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.8747039593802635,0.12556868438033164,0.05,25,0.0,walksize=0.35; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.8453852047450631,0.07503199317895635,0.05,25,0.0,walksize=0.35; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.710130389389224,0.19714966870282222,0.0,25,0.0,walksize=0.35; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.866506058465051,0.06610478942237556,0.05,24.7,1.3416407864998738,walksize=0.35; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.8931946923853482,0.0746002984857263,0.0,25,0.0,walksize=0.35; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.813494634216724,0.038044325479504176,0.0,25,0.0,walksize=0.35; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.7922622615786818,0.18855227291072668,0.0,25,0.0,walksize=0.35; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.884706841244707,0.08627881263976005,0.05,24.4,2.6832815729997477,walksize=0.35; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.848543438037061,0.16706450975831738,0.1,25,0.0,walksize=0.35; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.8549834720672842,0.07428131789396261,0.05,24.9,0.4472135954999579,walksize=0.35; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.8025412630643681,0.14290142680329296,0.0,25,0.0,walksize=0.35; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.8790048283510508,0.07677728771586062,0.0,25,0.0,walksize=0.35; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.8765109879089465,0.13899505026608047,0.05,25,0.0,walksize=0.35; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.8324579009973581,0.054607465675219916,0.0,25,0.0,walksize=0.35; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.8448268168332744,0.15136745270341856,0.15,25,0.0,walksize=0.35; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.866812731261508,0.0736757160409354,0.0,25,0.0,walksize=0.35; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.8734605685996466,0.17846822077761873,0.1,25,0.0,walksize=0.35; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.8385427805926781,0.06306014336502055,0.05,24.9,0.4472135954999579,walksize=0.35; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.7457009645464301,0.18505668465618738,0.05,25,0.0,walksize=0.35; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.8418455695032379,0.06847340451941385,0.0,25,0.0,walksize=0.35; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.8493864024902281,0.15711143677476222,0.05,25,0.0,walksize=0.35; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.8319167813785889,0.06867801818248818,0.0,25,0.0,walksize=0.35; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.762326655176792,0.1887750402127134,0.05,25,0.0,walksize=0.5; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.8609559295185176,0.052117535681329416,0.0,25,0.0,walksize=0.5; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.8734063059335505,0.12480394960150716,0.0,25,0.0,walksize=0.5; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.8482643232543763,0.07640473124084146,0.0,25,0.0,walksize=0.5; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.803772730551562,0.19082156645552606,0.1,25,0.0,walksize=0.5; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.8707034092130563,0.07615804619868585,0.0,25,0.0,walksize=0.5; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.8799604801538298,0.13654688694690983,0.05,25,0.0,walksize=0.5; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.8427118880441599,0.05653670061987603,0.0,25,0.0,walksize=0.5; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.7780903282861807,0.1661302131815482,0.05,25,0.0,walksize=0.5; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.8894299062819567,0.08353688453546437,0.0,25,0.0,walksize=0.5; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.9156847198384062,0.08833590824934505,0.05,25,0.0,walksize=0.5; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.8408439113019066,0.06247702191826597,0.0,25,0.0,walksize=0.5; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.7898245631312311,0.17908820270772918,0.1,25,0.0,walksize=0.5; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.8641039520426261,0.07604518777434115,0.0,25,0.0,walksize=0.5; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.8590113285644434,0.15078447898198127,0.0,25,0.0,walksize=0.5; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.8436042631499769,0.08170493366473322,0.05,24.85,0.6708203932499369,walksize=0.5; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.7861887093186887,0.19438597849306538,0.05,25,0.0,walksize=0.5; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.8861984667900977,0.06450213720722647,0.0,25,0.0,walksize=0.5; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.9090951250615988,0.10312834483281987,0.05,25,0.0,walksize=0.5; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.8382765915135543,0.0742611801227887,0.0,25,0.0,walksize=0.5; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.8375472126061041,0.15029548423627961,0.15,25,0.0,walksize=0.5; no_improve=200; restart=False; nbour=Hamming
