pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.7918511302099431,0.09577043239038824,0.0,50.55,25.460960828605614,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8951313361297165,0.08572229365654677,0.0,96.45,7.4936815490047834,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9100796652673475,0.08047793526305178,0.0,97.1,6.8510467890143,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9166738424485601,0.08729205604996997,0.0,93.85,11.56799122806685,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9368869991868581,0.08035623713071431,0.05,96.3,12.978119237677253,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9067451428292682,0.08761909326694069,0.05,93.55,12.816416282088744,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9432707188193264,0.06695558172873256,0.0,94.85,10.82042415746113,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9243885857218196,0.08476542572426321,0.1,97.3,7.705773638540198,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.958540661686656,0.053761105948196705,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9286174263770475,0.08114212745355266,0.0,98.8,5.366563145999495,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9419202697474278,0.07126309255982065,0.05,99.45,1.8771478925557026,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9342133587232841,0.0630108217304653,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9403241734485608,0.05412751253746718,0.0,97.6,5.413433583031636,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.884920000757298,0.06646758253720868,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9054182454214146,0.048109800625368904,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8968128635820042,0.05501590254145294,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9088490171109791,0.05213278003426409,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8620050354461082,0.06365990808436066,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8952572044738273,0.06956060104021582,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.8920699499934571,0.0688827835560346,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9045262562225064,0.06609927458467137,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.902527290687438,0.0691970097769242,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9006203963650772,0.05356752768156735,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.909242329868494,0.056017813525809625,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.898874899131386,0.06104128804669579,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8772833645952388,0.09600279360065335,0.0,93.95,15.490149671391341,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9177159496952519,0.08851880444453361,0.0,97.6,7.125934841718737,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9392606103195174,0.0780027017709094,0.0,98.4,4.345596682426452,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9384855495943687,0.06471161636833608,0.0,99.4,2.087557121815378,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9352621435910109,0.0636354497260742,0.0,95.7,10.084380835832475,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9418358356888974,0.06739218741605607,0.0,96.3,10.8098395723039,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.9108631903893458,0.08398118500767325,0.0,88.45,20.47199627732839,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.9668805809342905,0.03783396899352635,0.0,95.65,12.995039539438846,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.940467897389854,0.05705756592128645,0.0,85.9,25.90854360204269,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9324113618795927,0.06801283581848852,0.0,93,12.14387434925635,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.9416439076461349,0.04982272722355847,0.0,86.2,24.575554820529323,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.9390886232052895,0.0683796556162496,0.0,77.3,26.592638474822905,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.7918511302099431,0.09577043239038824,0.0,54.35,33.51869077960754,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.8151874979305067,0.10971881394190117,0.0,62.15,38.37251620626409,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7801829463496613,0.08549221106081994,0.0,50.2,30.006315124793666,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.8151874979305067,0.10971881394190117,0.0,63.05,39.201872941292784,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.8151874979305067,0.10971881394190117,0.0,62.1,37.43190308307945,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7685147624893796,0.07182782429279118,0.0,45.8,25.502528254438246,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9210230835030314,0.084058648016211,0.0,137,51.33994033580688,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9243503998833449,0.08869659846442914,0.05,144.4,44.48583452835532,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.927373976592026,0.08024881311738472,0.05,134.7,40.05141432551021,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9550067552545287,0.05799166621674871,0.0,120.8,24.73565506670376,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9301799507779343,0.08105705232956298,0.0,128.15,40.7512027591308,method=BFGS; iterations=1000000; temperature=1.0
