pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.7259487072509847,0.12021378947750451,0.0,3.7,2.2266330494363245,nr_particles=3; k=1; scaling=1000.0
PSO,0.8316267856184815,0.07700984308202073,0.0,25.25,9.1183735853553,nr_particles=3; k=1; scaling=10.0
PSO,0.694798345292606,0.15263795987010606,0.0,4.8,1.4725559590832462,nr_particles=3; k=1; scaling=100.0
PSO,0.7245244968648096,0.13648669967445445,0.0,3.3,0.5712405705774795,nr_particles=3; k=1; scaling=1000.0
PSO,0.8527315074989007,0.067607918998557,0.0,31.3,11.89913751850152,nr_particles=3; k=1; scaling=10.0
PSO,0.7030956770503478,0.07986261193666923,0.0,5.15,1.3869694338832115,nr_particles=3; k=1; scaling=100.0
PSO,0.6961124649594777,0.10077686309187639,0.0,3.45,1.5719582155957412,nr_particles=3; k=1; scaling=1000.0
PSO,0.6916370789837566,0.14163387882741754,0.0,8.8,7.424000907440961,nr_particles=1; k=1; scaling=10.0
PSO,0.5986376661063426,0.13914719511747517,0.0,1.8,1.0052493799000692,nr_particles=1; k=1; scaling=100.0
PSO,0.48904227439138825,0.23568345432079776,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.7442162030572598,0.11860592734017078,0.0,7.4,2.8727393858384316,nr_particles=1; k=1; scaling=10.0
PSO,0.5892177503867195,0.1917989266681406,0.0,2.55,3.7201443095947937,nr_particles=1; k=1; scaling=100.0
PSO,0.5675143018516652,0.2086095461512642,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.7270534610065016,0.1374899184409665,0.0,9.35,10.469378908838962,nr_particles=1; k=1; scaling=10.0
PSO,0.5307006729050577,0.18263129816370377,0.0,1.85,1.0894228312566052,nr_particles=1; k=1; scaling=100.0
PSO,0.5356733983464236,0.15380762494484163,0.0,1.2,0.41039134083406165,nr_particles=1; k=1; scaling=1000.0
PSO,0.794238487633251,0.10614629027928878,0.0,13.25,11.964310963950464,nr_particles=1; k=1; scaling=10.0
PSO,0.5255008736808255,0.2215880335299505,0.0,2.55,2.394621165511528,nr_particles=1; k=1; scaling=100.0
PSO,0.5135027063359654,0.160683729865277,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.9367256066602017,0.0385368678139511,0.05,104.95,2.5230516193063135,nr_particles=20; k=4; scaling=1000.0
PSO,0.9257641426381414,0.0479341075801674,0.0,99.7,3.6288319129757967,nr_particles=20; k=2; scaling=100.0
PSO,0.9143250045135752,0.0556451275229546,0.0,98.3,8.373517150736852,nr_particles=20; k=2; scaling=1000.0
PSO,0.9531706831522198,0.035385159391976985,0.0,103.85,2.3457688673327066,nr_particles=10; k=5; scaling=10.0
PSO,0.9257152660409416,0.04893186274592445,0.0,101.9,1.3337718577107003,nr_particles=10; k=5; scaling=100.0
PSO,0.9400529699338609,0.05722547036967492,0.1,102.3,2.0026298499197184,nr_particles=10; k=5; scaling=1000.0
PSO,0.9510153354790393,0.03636116617183506,0.0,103.2,2.261811104775156,nr_particles=10; k=3; scaling=10.0
PSO,0.9328510046314851,0.04441072275636665,0.0,101.25,1.5852942612451615,nr_particles=10; k=3; scaling=100.0
PSO,0.9499833561494502,0.046189624763056256,0.15,98.3,9.044335243676011,nr_particles=10; k=3; scaling=1000.0
PSO,0.9456768165770949,0.038457237454623476,0.0,101.9,2.125038699338017,nr_particles=10; k=2; scaling=10.0
PSO,0.9378705434222318,0.04546576016346374,0.0,87.3,18.71700605838107,nr_particles=10; k=2; scaling=100.0
PSO,0.8842646443969756,0.0830476280835047,0.0,79.05,23.627537457716354,nr_particles=10; k=2; scaling=1000.0
PSO,0.9104402980599133,0.062286431666003395,0.0,83.6,17.94259853268927,nr_particles=10; k=1; scaling=10.0
PSO,0.8343809421466244,0.08054628324828106,0.0,17.85,4.715874646787224,nr_particles=10; k=1; scaling=100.0
PSO,0.775920653746458,0.06958997686334671,0.0,10.45,0.8255779474818965,nr_particles=10; k=1; scaling=1000.0
PSO,0.9359921928907572,0.044961841305375914,0.1,99.45,5.762629151424036,nr_particles=7; k=3; scaling=10.0
PSO,0.9162431585129296,0.07993463727156536,0.25,95.05,12.983694227355853,nr_particles=7; k=3; scaling=100.0
PSO,0.9000851541053482,0.06780220648723966,0.0,93.85,12.25722128723352,nr_particles=7; k=3; scaling=1000.0
PSO,0.9378043744518614,0.05026968066047474,0.0,94.05,14.787886223100596,nr_particles=7; k=2; scaling=10.0
PSO,0.8913717475935657,0.0974486499115414,0.15,68.45,28.965451289787506,nr_particles=7; k=2; scaling=100.0
PSO,0.884109403412738,0.08726201244978703,0.05,62.4,28.667605043801068,nr_particles=7; k=2; scaling=1000.0
PSO,0.91271875072285,0.05979824153474325,0.0,68,23.384655337702924,nr_particles=7; k=1; scaling=10.0
PSO,0.8058781164984335,0.08657611214010479,0.0,15.05,9.167878707749137,nr_particles=7; k=1; scaling=100.0
PSO,0.8036613080656149,0.09268716221133601,0.0,7.8,1.1516578439248717,nr_particles=7; k=1; scaling=1000.0
PSO,0.8947281318447541,0.06331999766294169,0.05,63.35,19.585910618014218,nr_particles=7; k=1; scaling=10.0
PSO,0.808927592310731,0.10192758002592535,0.0,14.2,4.274773001052374,nr_particles=7; k=1; scaling=100.0
PSO,0.7659722977569728,0.1021852022653788,0.0,7.45,0.7591546545162482,nr_particles=7; k=1; scaling=1000.0
PSO,0.8438718787419134,0.06434160423161596,0.0,26.6,14.81251249166695,nr_particles=3; k=1; scaling=10.0
PSO,0.7131094565999818,0.13062763348843157,0.0,5.9,3.8648210961522085,nr_particles=3; k=1; scaling=100.0
PSO,0.6914420580474723,0.09042917579978363,0.0,3.15,0.4893604849295929,nr_particles=3; k=1; scaling=1000.0
PSO,0.8457498605655551,0.0880994652850767,0.0,31.7,20.731618364228105,nr_particles=3; k=1; scaling=10.0
PSO,0.7361952711569739,0.12221292751691741,0.0,5.4,1.930366749991743,nr_particles=3; k=1; scaling=100.0
PSO,0.714770035177403,0.12587186030009767,0.0,3.2,0.5231483637805969,nr_particles=3; k=1; scaling=1000.0
PSO,0.8713174598763302,0.0698662401696172,0.0,32.15,18.857568632696054,nr_particles=3; k=1; scaling=10.0
PSO,0.7586039412859706,0.11009916920685842,0.0,5.35,1.6630662866176473,nr_particles=3; k=1; scaling=100.0
PSO,0.7387802445600318,0.12456301028716171,0.0,3.65,2.2542357790099112,nr_particles=3; k=1; scaling=1000.0
PSO,0.863490273188842,0.07996094641173772,0.0,30.8,20.67187257578456,nr_particles=3; k=1; scaling=10.0
PSO,0.6928038953780489,0.12016277778908979,0.0,5.85,4.258428175549729,nr_particles=3; k=1; scaling=100.0
PSO,0.6983540860080039,0.12042935514529042,0.0,3.1,0.4472135954999579,nr_particles=3; k=1; scaling=1000.0
PSO,0.9692819024628638,0.017574334113778893,0.05,209.5,4.925764701519637,nr_particles=40; k=4; scaling=100.0
PSO,0.9540341085069863,0.042117813811741615,0.1,208.55,7.221860089886451,nr_particles=40; k=4; scaling=1000.0
PSO,0.9634471732673426,0.025756894019030006,0.05,206.7,3.6720853103265165,nr_particles=20; k=10; scaling=10.0
PSO,0.9711060328290468,0.027221780597003777,0.1,203.55,3.899730085126675,nr_particles=20; k=10; scaling=100.0
PSO,0.9733997776987803,0.023610392663390885,0.05,204.8,3.5481648332920677,nr_particles=20; k=10; scaling=1000.0
PSO,0.9669643150437746,0.03128862153951713,0.05,207.9,4.972556263077743,nr_particles=20; k=6; scaling=10.0
PSO,0.9681295395568873,0.03265009693907885,0.1,205.65,4.132986686086518,nr_particles=20; k=6; scaling=100.0
PSO,0.9840519865738198,0.023517669452093357,0.4,205.9,4.115439478994091,nr_particles=20; k=6; scaling=1000.0
PSO,0.9741142273648422,0.027217669932631573,0.1,204.65,3.8835008622850107,nr_particles=20; k=4; scaling=10.0
PSO,0.9736772730179767,0.025462093801452514,0.05,204.9,3.740250484153505,nr_particles=20; k=4; scaling=100.0
PSO,0.9681980631575613,0.02307629937326245,0.05,202.75,2.4251966822029964,nr_particles=20; k=4; scaling=1000.0
PSO,0.9621063689504717,0.030242999072169777,0.1,203.2,2.8022547312739734,nr_particles=20; k=2; scaling=10.0
PSO,0.9366702068744398,0.04988832418870502,0.1,156.2,40.53406624452806,nr_particles=20; k=2; scaling=100.0
PSO,0.9498960160940293,0.03415714477894212,0.05,162.2,35.93942271744439,nr_particles=20; k=2; scaling=1000.0
PSO,0.9695212204542188,0.02451367761404364,0.1,204.65,3.065512750104398,nr_particles=14; k=7; scaling=10.0
PSO,0.9698991381332475,0.028731526560749253,0.2,202.8,2.546411303445653,nr_particles=14; k=7; scaling=100.0
PSO,0.97073626249668,0.02134427926072898,0.0,199.6,18.233572274645933,nr_particles=14; k=7; scaling=1000.0
PSO,0.9714060513231529,0.02309049876836158,0.2,204.35,2.9068883707497264,nr_particles=14; k=4; scaling=10.0
PSO,0.9719098848635186,0.021025175503382836,0.15,200.1,9.216118603038003,nr_particles=14; k=4; scaling=100.0
PSO,0.969628470726019,0.026320953825779897,0.05,200.85,2.5188761069384222,nr_particles=14; k=4; scaling=1000.0
PSO,0.9731482555435029,0.02526455691762055,0.1,197.8,13.843486022789126,nr_particles=14; k=2; scaling=10.0
