GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8428561113577265,0.09378195949451229,0.05,98.65,6.037383539249432,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.8377728565792869,0.09788655641189574,0.0,100,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8417777681657305,0.09810800449889077,0.0,100,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8022921809516468,0.0872486985824293,0.0,84.1,9.352173966235704,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8106375205389584,0.0892130067318957,0.0,94.7,11.903559839060971,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8556575259072271,0.07788656332820577,0.0,97.55,5.744333592424158,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8331337324166214,0.09394857934089001,0.0,96.1,6.773788491406843,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8551538941758978,0.08560094692332257,0.05,95.6,11.604899146934725,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8235347791843218,0.10775708735749158,0.0,92.45,10.495487752262623,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9134600055962663,0.043696447684670126,0.05,95,52.43743138757195,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9124163420588738,0.025208050962700172,0.05,93.85,53.5008853837215,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9263970731698129,0.04102886733263191,0.2,88.25,43.79122118223673,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9079420509978487,0.02321595995123125,0.0,105.55,40.84305648648121,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9165894598235188,0.029175828609129203,0.05,82.1,32.69942861242299,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9213747246700301,0.03130300826597323,0.05,90.45,35.53719326653637,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8951164965976222,0.08001522451568313,0.1,183.05,34.7933372327156,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8610479578866179,0.08379452781092542,0.0,196.1,10.015251527440274,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8260655551342112,0.13746198062031106,0.0,191.05,17.833956375409244,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8714049075717528,0.06228390895079319,0.0,185.75,31.645861124573454,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8720490223590817,0.1589979651447318,0.15,183.95,31.11857627645719,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8673082041752965,0.09267063869685103,0.05,172.6,44.73006759852282,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.863059595561019,0.2095237980727675,0.1,187.1,30.576736943389875,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9467365306685286,0.047055295954786434,0.2,180.7,42.57760716126433,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.885821114966217,0.2181762053235566,0.1,178.7,35.973820890665536,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9436196855234616,0.05268328990375533,0.05,199.5,2.23606797749979,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9313571647508203,0.07074743344702406,0.05,195.3,11.903559839060971,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9139426213856283,0.13081011572754883,0.1,179.95,38.667918158815354,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.82082075192782,0.08629432694646304,0.05,195,22.360679774997898,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8058848053201201,0.07930460670337129,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8609389889262069,0.07383967828670533,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.8429563382205371,0.07126059205554469,0.05,194.1,26.385602134497518,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8427835271733003,0.08022863131792195,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8364874087324279,0.08325886456986606,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.8644461212737022,0.08124867716923893,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.8366723029145041,0.09679591761689713,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.8445963625819399,0.09161837399439897,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.8084994856104065,0.1344224829979254,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.8235386846335991,0.08712679712507877,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.8751619414945109,0.05314924906743012,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8909760406017242,0.05752155611562285,0.0,199.7,1.3416407864998738,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9135139650084695,0.04771319836071887,0.05,191.75,18.674144805332485,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8643744238068476,0.06287296639062008,0.05,189.45,22.220130749532412,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.86941774460519,0.10654647896311042,0.0,189.4,31.03037561046137,method=CG; iterations=1000000; temperature=0.5
