convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.7560816407243257,0.1388533613612943,0.0,87.05,24.48947142194612,nr_particles=20; k=2; scaling=1000.0
PSO,0.7873228960105134,0.1069079702793905,0.0,102.2,1.7651599003161755,nr_particles=10; k=5; scaling=10.0
PSO,0.8212116009813609,0.0964146722879598,0.05,100.45,8.543849742420136,nr_particles=10; k=5; scaling=100.0
PSO,0.7976321161264103,0.10635548690473996,0.0,100.5,5.256574830378468,nr_particles=10; k=5; scaling=1000.0
PSO,0.7680300871231711,0.1023176345668155,0.0,101.35,3.1501879643167827,nr_particles=10; k=3; scaling=10.0
PSO,0.7697498470140801,0.10829980568526534,0.0,96.35,14.302281746556902,nr_particles=10; k=3; scaling=100.0
PSO,0.7493629225599997,0.20476535683192656,0.0,97.1,11.368932737022739,nr_particles=10; k=3; scaling=1000.0
PSO,0.7434806470746275,0.09479267916301054,0.0,98.45,5.906953975032978,nr_particles=10; k=2; scaling=10.0
PSO,0.7320800480469077,0.1478700096838418,0.0,79.95,31.52521964529685,nr_particles=10; k=2; scaling=100.0
PSO,0.6551357412368849,0.18777575078580924,0.05,61.5,32.95211837292343,nr_particles=10; k=2; scaling=1000.0
PSO,0.6625751792062479,0.1294910348167143,0.0,65.3,21.13141836473035,nr_particles=10; k=1; scaling=10.0
PSO,0.5431091716379399,0.11458337587285748,0.0,15.75,4.435206041615085,nr_particles=10; k=1; scaling=100.0
PSO,0.44191740193173656,0.17001922721118048,0.0,10.35,0.5871429486123998,nr_particles=10; k=1; scaling=1000.0
PSO,0.8215325382261033,0.08565208615994283,0.0,97.3,8.046574949694598,nr_particles=7; k=3; scaling=10.0
PSO,0.7538949132427558,0.11818009129521925,0.0,92.2,19.318929903894237,nr_particles=7; k=3; scaling=100.0
PSO,0.7474462034647733,0.19788179139807635,0.0,90.4,17.700431157401074,nr_particles=7; k=3; scaling=1000.0
PSO,0.7412170714054416,0.17286136336404384,0.0,87.7,22.002631421575106,nr_particles=7; k=2; scaling=10.0
