pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.9258210064813109,0.08905705175144865,0.0,25,0.0,walksize=0.35; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.9679368163825547,0.03012578981310053,0.05,24.55,2.0124611797498106,walksize=0.35; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.8467800116041155,0.19051455817381313,0.0,25,0.0,walksize=0.35; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.9590368104335236,0.041862760442623756,0.0,25,0.0,walksize=0.35; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.9640472987096189,0.045502328686177734,0.0,25,0.0,walksize=0.35; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.9561639467838156,0.043490087039985886,0.05,24.85,0.6708203932499369,walksize=0.35; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.8533139482795843,0.15165410653115344,0.0,25,0.0,walksize=0.35; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.9503640813197406,0.04146748155802617,0.0,25,0.0,walksize=0.35; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.9146308705100616,0.10375561989703977,0.0,25,0.0,walksize=0.35; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.9486301716260452,0.03463965012374004,0.0,25,0.0,walksize=0.35; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.8623217119355084,0.1597295135816775,0.0,25,0.0,walksize=0.35; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.9533836098821392,0.03162835833551291,0.0,25,0.0,walksize=0.35; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.9498599727829876,0.06463461089047223,0.0,25,0.0,walksize=0.35; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.9552172376687452,0.054406377069596494,0.05,25,0.0,walksize=0.35; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.8208701830568659,0.15643905590500962,0.05,25,0.0,walksize=0.35; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.9569183528910257,0.033734624653553036,0.0,25,0.0,walksize=0.35; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.9538059605923461,0.06385640062823701,0.0,25,0.0,walksize=0.35; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.94548941417607,0.032088329074078104,0.0,25,0.0,walksize=0.35; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.8770110165503785,0.14606153345437603,0.0,25,0.0,walksize=0.35; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.9514741905676238,0.030780562173139434,0.0,25,0.0,walksize=0.35; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.9729391177267183,0.01976430867443115,0.0,25,0.0,walksize=0.35; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.9556007363804179,0.03662104100047101,0.0,25,0.0,walksize=0.35; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.8197774217406394,0.20208955952492544,0.0,25,0.0,walksize=0.5; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.960382846750705,0.03058684486716625,0.0,25,0.0,walksize=0.5; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.9527670068961263,0.05768272764789051,0.05,25,0.0,walksize=0.5; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.9575368165356931,0.03445182755249037,0.05,24.75,1.118033988749895,walksize=0.5; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.8530518628309288,0.1756303754568155,0.05,25,0.0,walksize=0.5; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.9423720527285036,0.030929565804522604,0.0,25,0.0,walksize=0.5; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.9681545122159544,0.041430274583458965,0.0,25,0.0,walksize=0.5; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.9451208702358211,0.042870145417468,0.0,25,0.0,walksize=0.5; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.863556986811864,0.15320053466474146,0.0,25,0.0,walksize=0.5; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.9589640172727911,0.02572325405756734,0.05,24.5,2.23606797749979,walksize=0.5; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.9023853293659838,0.15114896307884354,0.05,25,0.0,walksize=0.5; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.9487683717971981,0.04666882083884155,0.1,24.35,2.3004576203785834,walksize=0.5; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.8525112484942403,0.1644502962611577,0.0,25,0.0,walksize=0.5; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.9461971682635865,0.0370167895479596,0.0,25,0.0,walksize=0.5; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.8844392292543753,0.18440130954337408,0.0,25,0.0,walksize=0.5; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.9711212660106856,0.023069219909458056,0.05,25,0.0,walksize=0.5; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.900017484361259,0.16663841129038223,0.05,25,0.0,walksize=0.5; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.9553365043997297,0.03131214165265288,0.0,25,0.0,walksize=0.5; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.9446076621722349,0.053818745195868094,0.0,25,0.0,walksize=0.5; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.9400716568805167,0.047067236078338556,0.0,25,0.0,walksize=0.5; no_improve=100; restart=True; nbour=adjacent
