pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9784677772845158,0.018319248067291873,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9799495330845064,0.02159029014855903,0.05,95.6,19.677398201998148,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.984451645689617,0.012424826569708473,0.05,98.35,7.379024325749306,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9854641544382132,0.008286745544858524,0.05,99.1,4.024922359499621,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9800002839258593,0.015650101925448984,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9840161828641739,0.017190279394647272,0.1,96.6,12.48746740156959,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9829587451890038,0.015555707140787614,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9806599402479509,0.014092414266498772,0.05,99.95,0.22360679774997896,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9853544156994325,0.009160572458367894,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9782833503067225,0.01624252502065873,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9813774481949075,0.009281322872975246,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9795242418311584,0.011661128756913133,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9895167750076992,0.0036038134108592516,0.05,58.5,25.35329315265002,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9868993573377498,0.0035832726444112594,0.05,83,22.10739338106741,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9869034843110979,0.004144805980455425,0.05,85.95,20.686825199679753,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9876457095102199,0.005899937702362715,0.15,82.3,19.839089537683186,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9849207827262185,0.00493093316740585,0.05,88.6,16.92211259674282,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9875796489202142,0.005536714837556522,0.05,93,13.8335975455639,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.9671558466715692,0.02991279865665434,0.0,65.75,28.991604955482146,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.9820512392892549,0.016502957976361525,0.1,60.5,29.812572409710143,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9759110594447703,0.02366179685309284,0.1,63.5,22.737634001804146,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9807364253050306,0.017180636790022182,0.1,70.7,22.643925640688998,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.979200500894219,0.015509252607774474,0.0,76.9,19.33880745248296,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.9741388167611015,0.02372489366668773,0.1,60.75,22.168909001477484,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9733035515180747,0.025156403082350846,0.0,117.7,63.332954754177834,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9753131755059559,0.020827907635604402,0.0,86.7,38.1535678127499,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9835789905375797,0.002537688300182228,0.0,78.85,20.59451894379463,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9801320803296787,0.01548096548250809,0.0,74.85,19.836900755383827,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9798570577516943,0.015509897439960365,0.0,71.4,23.840257858019115,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9759193824747789,0.02101709585879611,0.0,58.4,17.14765596993239,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9906507880525807,0.00569866325149456,0.15,70.9,33.44264532473156,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9879066798489246,0.004684734712933913,0.05,85.65,16.94969336782108,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.987804955224784,0.004768562690402063,0.05,88.65,28.87409146440346,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9873723891252326,0.003563568608892047,0.0,93.8,28.991105714103348,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9869179202814522,0.0040033637304360045,0.05,93.75,21.855686963158558,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9860877093740048,0.0026464355884507533,0.0,109.35,27.654399098040155,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9922217690684767,0.006747509267422686,0.3,129.2,61.27985845799237,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9820091422638859,0.017522629083591885,0.0,127.4,32.12541214152992,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9890910929334463,0.005182274608042385,0.15,121.3,41.79536614959782,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9852254021807519,0.018734020103479705,0.1,143.35,36.83144394614328,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9891569861844388,0.007775999638447873,0.15,139.75,49.76246207312242,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9873846928487396,0.022223224777536788,0.35,123.95,63.422953673189795,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.991521473159666,0.006954651863662273,0.2,182.05,39.81202542475141,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9878543604941574,0.005197102690718537,0.05,192.25,34.659053651246744,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9872589094977684,0.005992634370978871,0.05,196.35,16.323296235748465,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9875732302502572,0.006668212269016778,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.987923978884686,0.005739512091976291,0.15,182.55,49.668877261531215,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9898279996592771,0.007571530372836374,0.15,180.6,51.91937068793861,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9928390688914506,0.005986300447020119,0.1,186.25,42.33683850663441,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9911391288838934,0.006173755822153965,0.1,196.35,12.058083115530952,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9890797656418845,0.005062679387156028,0.05,192.25,34.659053651246744,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9891333195255174,0.010909917832589761,0.1,188.25,38.59080201291494,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9902160580617354,0.006230496691182724,0.1,187.05,41.401086942253094,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9857502997902714,0.006050078830939067,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9919946898539039,0.006069370752489374,0.3,78.2,44.01746065035173,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9875175833522793,0.0034315145280898727,0.0,97.9,39.05178747846452,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9852763645021204,0.01349121405960846,0.1,87.5,23.415019920869955,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9870521962256631,0.0037574066276678695,0.05,100.75,25.747508821754305,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9880479812990335,0.005677508287882885,0.15,113.3,45.56094819030877,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9844122870377595,0.01069495567401328,0.1,108.95,36.45541617402073,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.98380451290068,0.017791887251929855,0.1,70.5,32.66496594212215,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.986273881183633,0.01494428128794957,0.25,76.25,35.297047736990244,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9848869132464851,0.01798294667344997,0.2,74.85,42.50854403281149,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9871214250921263,0.0070013623151980375,0.1,69.85,33.20950244480605,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.9813248387835488,0.026372425357305537,0.2,79.85,44.86503151265559,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.9777068401190915,0.018626804535911385,0.1,84.2,30.49348506778042,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9728679838475334,0.025019064676227748,0.0,119.05,82.62755689172188,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9825832835053447,0.003718432415867833,0.0,86.75,30.72265579254776,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9800317797384573,0.015457177201291233,0.0,76.3,24.83227950195386,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9794716403767637,0.015495497026051418,0.0,75.8,27.321863233065123,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9829185505846647,0.0034179791301336966,0.0,67.4,14.125005822076117,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9797517100576105,0.015479016278632466,0.0,62.1,17.025986330498323,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9910027848908571,0.0062401302564102645,0.25,79.4,39.14668770017122,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9874957730156437,0.0038026842925636393,0.05,95.15,23.038354747544023,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9834595495499439,0.012213416718830234,0.0,93.5,22.099059279811698,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9873868022516167,0.003902599112430596,0.05,91.55,25.52083771929787,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9853716813122895,0.01264771383662696,0.05,85.9,32.98947200483655,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9871878382304846,0.005087156625189485,0.1,96.65,25.472947466510014,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9913189466097378,0.005297369220190738,0.25,156.25,67.40441575414697,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9906539165620276,0.005990285171217975,0.25,132.55,72.78264324613896,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9876755169345205,0.014210345614280832,0.2,110.15,51.797454723079525,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.987448083387475,0.007900020699881686,0.15,138.65,62.01890628543932,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9863085860040353,0.008301525354298353,0.1,166.5,65.04451916713822,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9885959283030841,0.007219555093949664,0.2,187.9,67.01994989710546,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9911942256232983,0.006395744165228168,0.2,359,111.12013413655653,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9911441696182958,0.006131898569794471,0.2,344.95,118.22479702490061,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9960478549681937,0.005958720518987438,0.45,317.15,132.87202984747947,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9933821046505317,0.007035101411157367,0.4,327.25,98.51576149610729,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9905869100964498,0.006624360928864153,0.15,370.2,74.36510217200426,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9935012868321753,0.006672952260732232,0.2,348.3,108.77214233142796,method=L-BFGS-B; iterations=1000000; temperature=2.0
