convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9411441543630498,0.10158041011984086,0.6,130.55,51.72953447347178,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9061715929033766,0.14528537040586462,0.65,120.55,69.55306569352943,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.954599200414833,0.09846479157243178,0.8,123.2,57.30031689082944,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9544220484303421,0.10286346821777838,0.75,127.2,53.43328353632859,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9184110701451976,0.11395595547935602,0.6,133.65,67.22098278302535,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9478069066454591,0.0986851967217194,0.7,112.6,65.49921654814699,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9487674963014562,0.11201472189279087,0.8,91.9,64.06320891777203,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.8997373736156703,0.12268727512226049,0.55,143.65,64.99333973974807,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9244142938955067,0.11311127431554968,0.65,121.15,68.12934679517221,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.951995860629798,0.08796346582003696,0.75,117.15,68.99067442701758,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.8820542469730879,0.17322942605129907,0.6,136.3,65.9370513204989,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9262959152941819,0.14831205072627676,0.75,141.45,62.7564003865238,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9171296598108685,0.12921675963659984,0.65,115.05,68.87782853108753,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8995112974001577,0.17174097033654867,0.55,131.05,61.86783451332705,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9289370642171285,0.08977116657662018,0.6,120.15,63.4990882653154,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9225236185752215,0.08839348136838801,0.5,131,62.623351958565074,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8527922056807359,0.20974277046009776,0.5,131.7,70.29419381578059,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.8993791122458151,0.2258605092129396,0.65,117.6,56.980513751355566,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9353282320656118,0.18329632699272463,0.75,93.45,50.12770533452796,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.9200551223399739,0.09540206541076825,0.45,81.45,59.25633432718174,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.9642192959948692,0.07378274279829779,0.75,65.2,39.124094070560986,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8534577336522131,0.25448713244535254,0.4,85.95,47.70796579188847,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9141369981460676,0.08836905172262444,0.35,91.25,47.75802495255034,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.927803023631516,0.0839561340747292,0.45,87.95,38.70329103373646,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7769141743478708,0.25965545683917335,0.2,87.65,44.14125054866479,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.6909650607044648,0.41579937351243373,0.15,69.2,55.79530257533948,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7329015383846882,0.3859873548418155,0.3,34.6,24.57084279770382,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.6347222438940787,0.43273239842202,0.2,37.6,32.086068463956195,method=Powell; iterations=1000000; temperature=0.25
