convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.5074118459086799,0.3001253538012265,0.0,25,0.0,walksize=0.1; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.5811795418946133,0.21379633486916771,0.0,25,0.0,walksize=0.1; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.5853860006839614,0.2272519660891622,0.0,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.47173160149892485,0.3192802211860795,0.0,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.4912619529072762,0.28889396219627744,0.0,25,0.0,walksize=0.1; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.5338294402003894,0.305237177533664,0.0,25,0.0,walksize=0.1; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.6220350455700598,0.26236537613688155,0.0,25,0.0,walksize=0.1; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.4732616970390451,0.36478921204272324,0.0,25,0.0,walksize=0.1; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.4809561750200298,0.25519533991740445,0.0,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.5812566570007065,0.2539990883759169,0.0,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.4393260174260808,0.2953999788206391,0.0,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.41133962058270485,0.2439329002510314,0.0,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.40104533457137775,0.2822469395347461,0.0,25,0.0,walksize=0.2; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.5388715166749163,0.31867381989895177,0.05,24.9,0.4472135954999579,walksize=0.2; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.5066568469567619,0.3492157134541143,0.0,25,0.0,walksize=0.2; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.5250311454307218,0.3315755259994337,0.05,24.6,1.7888543819998317,walksize=0.2; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.44731310722855705,0.23273943593905771,0.0,25,0.0,walksize=0.2; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.5166879767908726,0.3080524649296143,0.0,25,0.0,walksize=0.2; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.4773192835567617,0.2961290930600767,0.0,25,0.0,walksize=0.2; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.5478889065513687,0.27969974923386715,0.0,25,0.0,walksize=0.2; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.6007645181956456,0.21720663342051685,0.0,25,0.0,walksize=0.2; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.5064862698693141,0.31199500752747983,0.0,25,0.0,walksize=0.2; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.5399733904112347,0.28892708280848567,0.0,25,0.0,walksize=0.2; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.5129574647583554,0.34078165677673894,0.0,25,0.0,walksize=0.2; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.404045840085439,0.3066086820741388,0.0,25,0.0,walksize=0.2; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.558240641308378,0.2518102201126865,0.0,25,0.0,walksize=0.2; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.49185808622664595,0.2839861329153577,0.0,25,0.0,walksize=0.2; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.502064756524236,0.33895375277034845,0.05,24.9,0.4472135954999579,walksize=0.2; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.5574282439644873,0.25892176782795584,0.0,25,0.0,walksize=0.2; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.4728344098160136,0.2714937150313279,0.0,25,0.0,walksize=0.2; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.4533428934599951,0.28157582851616375,0.0,25,0.0,walksize=0.2; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.5286769294079066,0.29986645299087333,0.0,25,0.0,walksize=0.2; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.4432037131700906,0.27293573324168763,0.0,25,0.0,walksize=0.2; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.584121490482259,0.23659282224150763,0.0,25,0.0,walksize=0.2; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.5834476378158575,0.24021276401286276,0.0,25,0.0,walksize=0.2; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.49411252836738756,0.32377490569375333,0.0,25,0.0,walksize=0.2; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.5235859883022582,0.2675996276065849,0.0,25,0.0,walksize=0.35; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.5098588315755119,0.30930593982312937,0.0,25,0.0,walksize=0.35; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.4121744284148904,0.3363327480042188,0.0,25,0.0,walksize=0.35; no_improve=5; restart=True; nbour=Hamming
