convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.788326268672134,0.1656655639090836,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.6203357320995044,0.26355810022473053,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.7200018509113278,0.17313982172459574,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.7809475905740992,0.15587833289829425,0.05,48.8,5.366563145999495,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.6072644975466821,0.28415131165247576,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.6579841015924147,0.21167020918344617,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.6892971190359399,0.24003240589482153,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.6314763859149797,0.29863017196097613,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.6709516166530269,0.2568916668949607,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.7862920986123451,0.12533011670584973,0.0,50,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.7328599104632453,0.2081958050783196,0.05,48.55,6.253209702140762,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.725273326483892,0.27357407840248615,0.05,47.6,7.829767758873486,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.7679608242940326,0.19778047412637018,0.0,49.5,2.23606797749979,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.7643568168673068,0.27343940609658607,0.0,48.15,4.891184336183448,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8303816130768233,0.09686962475709954,0.05,48.7,4.014447592594056,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.7765324081545706,0.139660388827249,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7641530706809448,0.21230067041316494,0.0,49.85,0.6708203932499369,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.6285530406209666,0.37858636186766914,0.0,55.05,35.41405459923919,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.5180524339762562,0.4386360135885733,0.0,47.5,38.28356800178594,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.6216166782637332,0.3719852875032344,0.0,53.4,32.36860076971931,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.736475745916414,0.3280015345613936,0.0,68.7,31.901328136021316,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.7309959225123268,0.3242756855042588,0.0,59.95,31.832580132542457,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7274610657845659,0.2581207198691499,0.0,65.95,27.744084243786382,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8120022745529953,0.21785596488352166,0.05,97.3,7.55401601101936,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8290659918924013,0.1268373066017475,0.1,93,17.42049609541951,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8066383071893943,0.12356937770896823,0.1,93.75,14.00704709855195,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8394695651027019,0.11944289554633401,0.0,96.75,9.640239132216369,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.875052167637825,0.11874308789018863,0.05,95.95,10.262219930148488,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8741785598332213,0.1018067343175575,0.05,95.4,11.522974762118551,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.7937591312034525,0.29073299121926877,0.1,92.35,18.69780454323026,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.8690606547403888,0.10291266758437441,0.05,98.25,7.826237921249264,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8624644887161768,0.11241639093741917,0.05,97.7,7.787304107530275,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8051177650280904,0.2120513056191814,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.8539440821420191,0.10586609228218638,0.05,99.15,3.8013155617496426,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.786189362160345,0.20294180111792612,0.1,92.95,19.861295341230363,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.7673112679898404,0.09963475704209432,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7033725518923639,0.19491217783534862,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.789393104647123,0.09818232587730594,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.7106027586118991,0.2341595319047693,0.05,99.9,0.4472135954999579,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.7995591650292041,0.08318727180130085,0.05,96.75,14.534441853748634,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.7206744777554184,0.21481942439305973,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.7658709627497532,0.20333528581459856,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.8026286554195022,0.12838188613211454,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.8162533520488272,0.14584464343933667,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.8142043424057869,0.10503767562793216,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.8355506123846043,0.0861806952811727,0.1,97.5,8.774964387392123,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.7920206834109521,0.15498438971916428,0.05,97.55,10.956733089748969,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8451907120227232,0.2167267288076274,0.0,97.6,7.322639731106464,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.8272406403932284,0.15597063597232436,0.15,92.1,13.71476346285656,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.7988710787407539,0.154582779747294,0.05,92.55,14.795002712509312,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8066486525945201,0.12867712469531462,0.0,96.65,12.097302874695055,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.8692925229173141,0.0927475289029845,0.0,95.8,12.484095144580857,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8422764475027564,0.10847704094832952,0.0,97.15,9.804805481309447,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8636599461161275,0.11083632430065173,0.0,90.35,14.35004126163149,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8295051992753041,0.216040879874567,0.05,86.1,18.671396643839447,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.852315532106222,0.2165442212916445,0.05,83.95,22.737576133375622,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8449930692148279,0.09029251993156762,0.05,79.25,25.312520305384968,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8658649410933056,0.08852990479947596,0.0,84.35,19.995460011028293,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8338135042846899,0.09196065920776703,0.0,81.75,23.364108777083032,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.5749998737925559,0.4382156525128953,0.0,88.5,75.19553458186617,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7153917221044286,0.3181535366463783,0.0,65.25,35.274674081824585,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.5369855336894073,0.4086926836256196,0.0,46.55,36.32669744648447,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.6322734875446616,0.38132061718697213,0.0,58.3,36.23621334928274,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.7526445712775478,0.26835287442696554,0.0,63.7,27.51286780284531,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.634265480112001,0.3819636809978906,0.0,61.45,36.461190614852825,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9257608083896973,0.0782480275626411,0.1,164.3,44.59537384551286,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8756518108335158,0.10134751333644404,0.15,146.65,50.350638944359616,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8826007885940985,0.10021605408877006,0.25,143.3,32.74157183636408,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8812574258647888,0.08203643148542673,0.1,150,45.56776330512152,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8757987849340259,0.07490455230998815,0.0,144.8,44.820812834640726,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8145159361272517,0.2074841344829031,0.05,134.15,47.037806742639425,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.903282695713274,0.07911975331921861,0.1,180.25,33.142237322438596,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9078343766478085,0.07481699706638303,0.05,176.1,33.6825739734018,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8905629993378821,0.08665187889359839,0.2,149.05,43.65109873820625,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9022717496911936,0.08708551654136842,0.0,185.45,28.253504673151426,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.8817773127134637,0.06676859353148269,0.0,158.55,39.97166759751607,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8660419325145142,0.21788054185932923,0.15,141.7,56.11370036293323,method=COBYLA; iterations=1000000; temperature=2.0
