pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9384177655576824,0.05774353909798969,0.0,95.6,11.385124181649445,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.960901295012271,0.048449288471219994,0.0,92.45,15.537645286613785,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9547644680481892,0.03947528073347314,0.05,96.45,10.889275264657133,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9532834798954958,0.05380648988060465,0.05,98.25,4.27815749814653,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9251697164872482,0.05615797368940716,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9346449375183493,0.04518129710722876,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9189740952983704,0.056658007366811924,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9397084871610938,0.047424898027144814,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9334787058809918,0.036427124198713,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9144404802059038,0.05522900399143478,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9216469414073444,0.04602174691793902,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9459505444911335,0.031366728287378576,0.05,99.05,4.2485291572496005,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9180221920785722,0.051970952357647676,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9189353382151884,0.05082603008788323,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9206301036092219,0.05080323835665373,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9271176383693741,0.05142872995296216,0.05,97.65,10.50951949424901,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9033344141675236,0.08020073179329325,0.0,89.3,18.826353309851815,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9179299863346813,0.07920862636932909,0.0,85.35,19.679738444988487,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9465950144583217,0.05943747027901522,0.0,84.4,22.73740252720637,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9567935092266153,0.059282119041173614,0.0,91.35,10.529532403273135,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9536590313098319,0.04264737698640645,0.0,93.25,10.992222130598574,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9325542882581478,0.06159910004286217,0.0,95.85,9.702278625473285,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.9398404373044714,0.05704226203495497,0.15,71,26.77390717215472,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.9482082232112989,0.058052287717519184,0.1,90,21.31715395242946,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9602158928073984,0.042823438706155376,0.0,74.4,26.310694243576076,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.949395945767846,0.053105732381418,0.05,77.15,23.4930560849483,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.9578304976475847,0.038623510620725186,0.05,78.35,21.51933035545875,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.9279845147990406,0.06321876740103292,0.0,75.3,19.431661629521304,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.7800756850012651,0.0,0.0,35.95,1.4680814547887786,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7800756850012651,0.0,0.0,36.35,1.6630662866176473,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7800756850012651,0.0,0.0,36,1.8353258709644942,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.7800756850012651,0.0,0.0,34.5,2.2826577307580465,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.7800756850012651,0.0,0.0,35.2,1.8238190122579827,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7800756850012651,0.0,0.0,35.7,1.5927467172350906,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9296670079737519,0.0739630631145848,0.0,143.55,54.77559483450348,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9195423178184605,0.08324884571526757,0.0,135.25,48.67277959685691,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9753953826972571,0.024602142799733506,0.0,142.9,42.45356596515651,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9667798509568876,0.04667523828310065,0.0,129.3,43.68800871249636,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9704126648330331,0.04591437823850596,0.0,117.45,40.98584479651738,method=BFGS; iterations=1000000; temperature=1.0
