GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8382824574261241,0.1252273950028581,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.8549078185557082,0.16765519008045765,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.7585637179401149,0.14186573375346717,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.8347730326562833,0.1297615484309509,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.7887480705770867,0.14162969017029034,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.7199757027968053,0.2607293277697086,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8749640769133425,0.10906549092228372,0.0,98.25,5.580746978864502,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9036520983105097,0.06641702326021803,0.1,92.75,19.531014472264093,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8642145641809486,0.10106029304473399,0.0,100,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8770215467390439,0.09675089033532422,0.0,100,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9033453465768823,0.05219033681218056,0.0,100,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8888304594817256,0.0525249549832927,0.0,100,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8867006646425375,0.1070357569343841,0.0,96.05,13.260447718090461,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8649432783543758,0.2065446693603739,0.0,95.4,14.471023678917447,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8545125407426944,0.20412088180087076,0.0,96.55,10.530532050336198,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8740789787950773,0.05684372181136487,0.0,90.75,17.04444654116809,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8864057876214633,0.04078964298341975,0.0,100,0.0,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8509047381307872,0.20496224694951543,0.0,96,13.27046582294287,method=Nelder-Mead; iterations=1000000; temperature=2.0
